forest_area_sq_km,geo,time
13500,afg,1990
13500,afg,2000
13500,afg,2005
13500,afg,2010
7890,alb,1990
7690,alb,2000
7820,alb,2005
7760,alb,2010
16670,dza,1990
15790,dza,2000
15360,dza,2005
14920,dza,2010
180,asm,1990
180,asm,2000
180,asm,2005
180,asm,2010
160,and,1990
160,and,2000
160,and,2005
160,and,2010
609800,ago,1990
597300,ago,2000
591000,ago,2005
584800,ago,2010
100,atg,1990
100,atg,2000
100,atg,2005
100,atg,2010
347900,arg,1990
318600,arg,2000
306000,arg,2005
294000,arg,2010
3470,arm,1990
3040,arm,2000
2830,arm,2005
2620,arm,2010
4,abw,1990
4,abw,2000
4,abw,2005
1545000,aus,1990
1549000,aus,2000
1539000,aus,2005
1493000,aus,2010
37760,aut,1990
38380,aut,2000
38620,aut,2005
38870,aut,2010
9360,aze,1990
9360,aze,2000
9360,aze,2005
9360,aze,2010
5150,bhs,1990
5150,bhs,2000
5150,bhs,2005
5150,bhs,2010
2,bhr,1990
4.6,bhr,2000
4.8,bhr,2005
10,bhr,2010
14940,bgd,1990
14680,bgd,2000
14550,bgd,2005
14420,bgd,2010
80,brb,1990
80,brb,2000
80,brb,2005
80,brb,2010
77800,blr,1990
82730,blr,2000
84360,blr,2005
86300,blr,2010
6770,bel,1990
6670,bel,2000
6730,bel,2005
6780,bel,2010
15860,blz,1990
14890,blz,2000
14410,blz,2005
13930,blz,2010
57610,ben,1990
50610,ben,2000
48110,ben,2005
45610,ben,2010
10,bmu,1990
10,bmu,2000
10,bmu,2005
10,bmu,2010
30350,btn,1990
31410,btn,2000
31950,btn,2005
32490,btn,2010
628000,bol,1990
600900,bol,2000
587300,bol,2005
572000,bol,2010
22100,bih,1990
21850,bih,2000
21850,bih,2005
21850,bih,2010
137200,bwa,1990
125400,bwa,2000
119400,bwa,2005
113500,bwa,2010
5748000,bra,1990
5459000,bra,2000
5305000,bra,2005
5195000,bra,2010
4130,brn,1990
3970,brn,2000
3890,brn,2005
3800,brn,2010
33270,bgr,1990
33750,bgr,2000
36510,bgr,2005
39270,bgr,2010
68470,bfa,1990
62480,bfa,2000
59490,bfa,2005
56490,bfa,2010
2890,bdi,1990
1980,bdi,2000
1810,bdi,2005
1720,bdi,2010
129400,khm,1990
115500,khm,2000
107300,khm,2005
100900,khm,2010
243200,cmr,1990
221200,cmr,2000
210200,cmr,2005
199200,cmr,2010
3101000,can,1990
3101000,can,2000
3101000,can,2005
3101000,can,2010
580,cpv,1990
820,cpv,2000
840,cpv,2005
850,cpv,2010
130,cym,1990
130,cym,2000
130,cym,2005
130,cym,2010
232000,caf,1990
229000,caf,2000
227600,caf,2005
226000,caf,2010
131100,tcd,1990
123200,tcd,2000
119200,tcd,2005
115200,tcd,2010
8,chanisl,1990
8,chanisl,2000
8,chanisl,2005
152600,chl,1990
158300,chl,2000
160400,chl,2005
162300,chl,2010
1571000,chn,1990
1770000,chn,2000
1930000,chn,2005
2069000,chn,2010
625200,col,1990
615100,col,2000
610000,col,2005
605000,col,2010
120,com,1990
80,com,2000
50,com,2005
30,com,2010
1604000,cod,1990
1572000,cod,2000
1557000,cod,2005
1541000,cod,2010
227300,cog,1990
225600,cog,2000
224700,cog,2005
224100,cog,2010
25640,cri,1990
23760,cri,2000
24910,cri,2005
26050,cri,2010
102200,civ,1990
103300,civ,2000
104000,civ,2005
104000,civ,2010
18500,hrv,1990
18850,hrv,2000
19030,hrv,2005
19200,hrv,2010
20580,cub,1990
24350,cub,2000
26970,cub,2005
28700,cub,2010
1610,cyp,1990
1720,cyp,2000
1730,cyp,2005
1730,cyp,2010
26290,cze,1990
26370,cze,2000
26470,cze,2005
26570,cze,2010
4450,dnk,1990
4860,dnk,2000
5340,dnk,2005
5440,dnk,2010
60,dji,1990
60,dji,2000
60,dji,2005
60,dji,2010
500,dma,1990
470,dma,2000
460,dma,2005
450,dma,2010
19720,dom,1990
19720,dom,2000
19720,dom,2005
19720,dom,2010
138200,ecu,1990
118400,ecu,2000
108500,ecu,2005
98650,ecu,2010
440,egy,1990
590,egy,2000
670,egy,2005
700,egy,2010
3770,slv,1990
3320,slv,2000
3090,slv,2005
2870,slv,2010
18600,gnq,1990
17430,gnq,2000
16850,gnq,2005
16260,gnq,2010
16210,eri,1990
15760,eri,2000
15540,eri,2005
15320,eri,2010
20900,est,1990
22430,est,2000
22520,est,2005
22170,est,2010
151100,eth,1990
137000,eth,2000
130000,eth,2005
123000,eth,2010
1,fro,1990
1,fro,2000
1,fro,2005
9530,fji,1990
9800,fji,2000
9970,fji,2005
10140,fji,2010
218900,fin,1990
224600,fin,2000
221600,fin,2005
221600,fin,2010
145400,fra,1990
153500,fra,2000
157100,fra,2005
159500,fra,2010
550,pyf,1990
1050,pyf,2000
1300,pyf,2005
1550,pyf,2010
220000,gab,1990
220000,gab,2000
220000,gab,2005
220000,gab,2010
4420,gmb,1990
4610,gmb,2000
4710,gmb,2005
4800,gmb,2010
27790,geo,1990
27680,geo,2000
27550,geo,2005
27420,geo,2010
107400,deu,1990
110800,deu,2000
110800,deu,2005
110800,deu,2010
74480,gha,1990
60940,gha,2000
55170,gha,2005
49400,gha,2010
0,gib,1990
0,gib,2000
0,gib,2005
0,gib,2010
32990,grc,1990
36010,grc,2000
37520,grc,2005
39030,grc,2010
2,grl,1990
2,grl,2000
2,grl,2005
170,grd,1990
170,grd,2000
170,grd,2005
170,grd,2010
260,gum,1990
260,gum,2000
260,gum,2005
260,gum,2010
47480,gtm,1990
42080,gtm,2000
39380,gtm,2005
36570,gtm,2010
72640,gin,1990
69040,gin,2000
67240,gin,2005
65440,gin,2010
22160,gnb,1990
21200,gnb,2000
20720,gnb,2005
20220,gnb,2010
152000,guy,1990
152000,guy,2000
152000,guy,2005
152000,guy,2010
1160,hti,1990
1090,hti,2000
1050,hti,2005
1010,hti,2010
81360,hnd,1990
63920,hnd,2000
57920,hnd,2005
51920,hnd,2010
18010,hun,1990
19070,hun,2000
19830,hun,2005
20290,hun,2010
90,isl,1990
180,isl,2000
250,isl,2005
300,isl,2010
639400,ind,1990
653900,ind,2000
677100,ind,2005
684300,ind,2010
1185000,idn,1990
994100,idn,2000
978600,idn,2005
944300,idn,2010
110800,irn,1990
110800,irn,2000
110800,irn,2005
110800,irn,2010
8040,irq,1990
8180,irq,2000
8250,irq,2005
8250,irq,2010
4650,irl,1990
6350,irl,2000
6950,irl,2005
7390,irl,2010
30,gbm,1990
30,gbm,2000
30,gbm,2005
30,gbm,2010
1320,isr,1990
1530,isr,2000
1550,isr,2005
1540,isr,2010
75900,ita,1990
83690,ita,2000
87590,ita,2005
91490,ita,2010
3450,jam,1990
3410,jam,2000
3390,jam,2005
3370,jam,2010
249500,jpn,1990
248800,jpn,2000
249400,jpn,2005
249800,jpn,2010
980,jor,1990
980,jor,2000
980,jor,2005
980,jor,2010
34220,kaz,1990
33650,kaz,2000
33370,kaz,2005
33090,kaz,2010
37080,ken,1990
35820,ken,2000
35220,ken,2005
34670,ken,2010
120,kir,1990
120,kir,2000
120,kir,2005
120,kir,2010
82010,prk,1990
69330,prk,2000
62990,prk,2005
56660,prk,2010
63700,kor,1990
62880,kor,2000
62550,kor,2005
62220,kor,2010
30,kwt,1990
50,kwt,2000
60,kwt,2005
60,kwt,2010
8360,kgz,1990
8580,kgz,2000
8690,kgz,2005
9540,kgz,2010
173100,lao,1990
165300,lao,2000
161400,lao,2005
157500,lao,2010
31730,lva,1990
32410,lva,2000
32970,lva,2005
33540,lva,2010
1310,lbn,1990
1310,lbn,2000
1370,lbn,2005
1370,lbn,2010
400,lso,1990
420,lso,2000
430,lso,2005
440,lso,2010
49290,lbr,1990
46290,lbr,2000
44790,lbr,2005
43290,lbr,2010
2170,lby,1990
2170,lby,2000
2170,lby,2005
2170,lby,2010
70,lie,1990
70,lie,2000
70,lie,2005
70,lie,2010
19450,ltu,1990
20200,ltu,2000
21210,ltu,2005
21600,ltu,2010
860,lux,1990
870,lux,2000
870,lux,2005
870,lux,2010
9120,mkd,1990
9580,mkd,2000
9750,mkd,2005
9980,mkd,2010
136900,mdg,1990
131200,mdg,2000
128400,mdg,2005
125500,mdg,2010
38960,mwi,1990
35670,mwi,2000
34020,mwi,2005
32370,mwi,2010
223800,mys,1990
215900,mys,2000
208900,mys,2005
204600,mys,2010
10,mdv,1990
10,mdv,2000
10,mdv,2005
10,mdv,2010
140700,mli,1990
132800,mli,2000
128800,mli,2005
124900,mli,2010
3,mlt,1990
3,mlt,2000
3,mlt,2005
130,mhl,1990
130,mhl,2000
130,mhl,2005
130,mhl,2010
4150,mrt,1990
3170,mrt,2000
2670,mrt,2005
2420,mrt,2010
390,mus,1990
390,mus,2000
350,mus,2005
350,mus,2010
180,myt,1990
160,myt,2000
150,myt,2005
140,myt,2010
702900,mex,1990
667500,mex,2000
655800,mex,2005
648000,mex,2010
640,fsm,1990
640,fsm,2000
640,fsm,2005
640,fsm,2010
3190,mda,1990
3240,mda,2000
3630,mda,2005
3860,mda,2010
0,mco,1990
0,mco,2000
0,mco,2005
0,mco,2010
125400,mng,1990
117200,mng,2000
113100,mng,2005
109000,mng,2010
5430,mne,1990
5430,mne,2000
5430,mne,2005
5430,mne,2010
50490,mar,1990
50170,mar,2000
50810,mar,2005
51310,mar,2010
433800,moz,1990
411900,moz,2000
400800,moz,2005
390200,moz,2010
392200,mmr,1990
348700,mmr,2000
333200,mmr,2005
317700,mmr,2010
87620,nam,1990
80320,nam,2000
76610,nam,2005
72900,nam,2010
48170,npl,1990
39000,npl,2000
36360,npl,2005
36360,npl,2010
3450,nld,1990
3600,nld,2000
3650,nld,2005
3650,nld,2010
8390,ncl,1990
8390,ncl,2000
8390,ncl,2005
8390,ncl,2010
77200,nzl,1990
82660,nzl,2000
83110,nzl,2005
82690,nzl,2010
45140,nic,1990
38140,nic,2000
34640,nic,2005
31140,nic,2010
19450,ner,1990
13280,ner,2000
12660,ner,2005
12040,ner,2010
172300,nga,1990
131400,nga,2000
110900,nga,2005
90410,nga,2010
340,mnp,1990
320,mnp,2000
310,mnp,2005
300,mnp,2010
91300,nor,1990
93010,nor,2000
96830,nor,2005
100600,nor,2010
20,omn,1990
20,omn,2000
20,omn,2005
20,omn,2010
25270,pak,1990
21160,pak,2000
19020,pak,2005
16870,pak,2010
380,plw,1990
400,plw,2000
400,plw,2005
400,plw,2010
37920,pan,1990
33690,pan,2000
33100,pan,2005
32510,pan,2010
315200,png,1990
301300,png,2000
294400,png,2005
287300,png,2010
211600,pry,1990
193700,pry,2000
184800,pry,2005
175800,pry,2010
701600,per,1990
692100,per,2000
687400,per,2005
679900,per,2010
65700,phl,1990
71170,phl,2000
73910,phl,2005
76650,phl,2010
88810,pol,1990
90590,pol,2000
92000,pol,2005
93370,pol,2010
33270,prt,1990
34200,prt,2000
34370,prt,2005
34560,prt,2010
2870,pri,1990
4640,pri,2000
5080,pri,2005
5520,pri,2010
0,qat,1990
0,qat,2000
0,qat,2005
0,qat,2010
63710,rou,1990
63660,rou,2000
63910,rou,2005
65730,rou,2010
8090000,rus,1990
8093000,rus,2000
8088000,rus,2005
8091000,rus,2010
3180,rwa,1990
3440,rwa,2000
3850,rwa,2005
4350,rwa,2010
110,kna,1990
110,kna,2000
110,kna,2005
110,kna,2010
440,lca,1990
470,lca,2000
470,lca,2005
470,lca,2010
250,vct,1990
260,vct,2000
260,vct,2005
270,vct,2010
1300,wsm,1990
1710,wsm,2000
1710,wsm,2005
1710,wsm,2010
0,smr,1990
0,smr,2000
0,smr,2005
0,smr,2010
270,stp,1990
270,stp,2000
270,stp,2005
270,stp,2010
9770,sau,1990
9770,sau,2000
9770,sau,2005
9770,sau,2010
93480,sen,1990
88980,sen,2000
86730,sen,2005
84730,sen,2010
23130,srb,1990
24600,srb,2000
24760,srb,2005
27130,srb,2010
410,syc,1990
410,syc,2000
410,syc,2005
410,syc,2010
31180,sle,1990
29220,sle,2000
28240,sle,2005
27260,sle,2010
20,sgp,1990
20,sgp,2000
20,sgp,2005
20,sgp,2010
19220,svk,1990
19210,svk,2000
19320,svk,2005
19330,svk,2010
11880,svn,1990
12330,svn,2000
12430,svn,2005
12530,svn,2010
23240,slb,1990
22680,slb,2000
22410,slb,2005
22130,slb,2010
82820,som,1990
75150,som,2000
71310,som,2005
67470,som,2010
82010,zaf,1990
69330,zaf,2000
62990,zaf,2005
56660,zaf,2010
138200,esp,1990
169900,esp,2000
172900,esp,2005
181700,esp,2010
23500,lka,1990
20820,lka,2000
19330,lka,2005
18600,lka,2010
763800,sdn,1990
704900,sdn,2000
702200,sdn,2005
699500,sdn,2010
147800,sur,1990
147800,sur,2000
147800,sur,2005
147600,sur,2010
4720,swz,1990
5180,swz,2000
5410,swz,2005
5630,swz,2010
272800,swe,1990
273900,swe,2000
282000,swe,2005
282000,swe,2010
11510,che,1990
11940,che,2000
12170,che,2005
12400,che,2010
3720,syr,1990
4320,syr,2000
4610,syr,2005
4910,syr,2010
4080,tjk,1990
4100,tjk,2000
4100,tjk,2005
4100,tjk,2010
415000,tza,1990
374600,tza,2000
354400,tza,2005
334300,tza,2010
195500,tha,1990
190000,tha,2000
189000,tha,2005
189700,tha,2010
9660,tls,1990
8540,tls,2000
7980,tls,2005
7420,tls,2010
6850,tgo,1990
4860,tgo,2000
3860,tgo,2005
2870,tgo,2010
90,ton,1990
90,ton,2000
90,ton,2005
90,ton,2010
2410,tto,1990
2340,tto,2000
2300,tto,2005
2260,tto,2010
6430,tun,1990
8370,tun,2000
9240,tun,2005
10060,tun,2010
96800,tur,1990
101500,tur,2000
107400,tur,2005
113300,tur,2010
41270,tkm,1990
41270,tkm,2000
41270,tkm,2005
41270,tkm,2010
340,tca,1990
340,tca,2000
340,tca,2005
340,tca,2010
10,tuv,1990
10,tuv,2000
10,tuv,2005
10,tuv,2010
47510,uga,1990
38690,uga,2000
34290,uga,2005
29880,uga,2010
92740,ukr,1990
95100,ukr,2000
95750,ukr,2005
97050,ukr,2010
2450,are,1990
3100,are,2000
3120,are,2005
3170,are,2010
26110,gbr,1990
27930,gbr,2000
28450,gbr,2005
28810,gbr,2010
2963000,usa,1990
3002000,usa,2000
3021000,usa,2005
3040000,usa,2010
9200,ury,1990
14120,ury,2000
15200,ury,2005
17440,ury,2010
30450,uzb,1990
32120,uzb,2000
32950,uzb,2005
32760,uzb,2010
4400,vut,1990
4400,vut,2000
4400,vut,2005
4400,vut,2010
520300,ven,1990
491500,ven,2000
477100,ven,2005
462800,ven,2010
93630,vnm,1990
117200,vnm,2000
130800,vnm,2005
138000,vnm,2010
240,vir,1990
220,vir,2000
210,vir,2005
200,vir,2010
90,pse,1990
90,pse,2000
90,pse,2005
90,pse,2010
5490,yem,1990
5490,yem,2000
5490,yem,2005
5490,yem,2010
528000,zmb,1990
511300,zmb,2000
503000,zmb,2005
494700,zmb,2010
221600,zwe,1990
188900,zwe,2000
172600,zwe,2005
156200,zwe,2010
