geo,internal_renewable_water_cu_meters_per_person,time
afg,5506,1962
afg,4972,1967
afg,4418,1972
afg,3985,1977
afg,4103,1982
afg,4610,1987
afg,3744,1992
afg,2824,1997
afg,2476,2002
afg,2108,2007
alb,15710,1962
alb,13610,1967
alb,12000,1972
alb,10730,1977
alb,9684,1982
alb,8635,1987
alb,8225,1992
alb,8674,1997
alb,8684,2002
alb,8480,2007
dza,1003,1962
dza,894.6,1967
dza,770.3,1972
dza,658.9,1977
dza,559.7,1982
dza,480.8,1987
dza,423.8,1992
dza,385,1997
dza,358,2002
dza,337.2,2007
ago,28430,1962
ago,25860,1967
ago,23310,1972
ago,20630,1977
ago,17630,1982
ago,15150,1987
ago,13190,1992
ago,11430,1997
ago,10040,2002
ago,8939,2007
atg,914.1,1962
atg,805.9,1967
atg,714.4,1972
atg,687.4,1977
atg,737.3,1982
atg,802.2,1987
atg,823.4,1992
atg,726.6,1997
atg,653.2,2002
atg,618.3,2007
arg,12970,1962
arg,12040,1967
arg,11140,1972
arg,10270,1977
arg,9530,1982
arg,8843,1987
arg,8240,1992
arg,7734,1997
arg,7332,2002
arg,7053,2007
arm,1988,1992
arm,2182,1997
arm,2249,2002
arm,2279,2007
aus,45710,1962
aus,40890,1967
aus,37540,1972
aus,35100,1977
aus,32710,1982
aus,30490,1987
aus,28330,1992
aus,26590,1997
aus,25100,2002
aus,23960,2007
aut,7715,1962
aut,7476,1967
aut,7307,1972
aut,7260,1977
aut,7286,1982
aut,7220,1987
aut,6997,1992
aut,6800,1997
aut,6731,2002
aut,6605,2007
aze,1089,1992
aze,1019,1997
aze,986.2,2002
aze,965.4,2007
bhs,164.8,1962
bhs,130.7,1967
bhs,112.3,1972
bhs,101.6,1977
bhs,91.16,1982
bhs,82.64,1987
bhs,75.45,1992
bhs,68.99,1997
bhs,64.23,2002
bhs,61.11,2007
bhr,23.57,1962
bhr,19.81,1967
bhr,16.88,1972
bhr,13.29,1977
bhr,10.7,1982
bhr,9.016,1987
bhr,7.585,1992
bhr,6.584,1997
bhr,5.882,2002
bhr,5.413,2007
bgd,1843,1962
bgd,1623,1967
bgd,1430,1972
bgd,1268,1977
bgd,1125,1982
bgd,995.7,1987
bgd,887.5,1992
bgd,798.3,1997
bgd,724.4,2002
bgd,673.1,2007
brb,344.4,1962
brb,338.3,1967
brb,331.3,1972
brb,324.1,1977
brb,316.6,1982
brb,302.2,1987
brb,290.8,1992
brb,283,1997
brb,277.1,2002
brb,273.1,2007
blr,3613,1992
blr,3648,1997
blr,3738,2002
blr,3818,2007
bel,1293,1962
bel,1259,1967
bel,1237,1972
bel,1223,1977
bel,1222,1982
bel,1218,1987
bel,1201,1992
bel,1185,1997
bel,1168,2002
bel,1150,2007
blz,162900,1962
blz,141200,1967
blz,125300,1972
blz,116600,1977
blz,106200,1982
blz,93200,1987
blz,81420,1992
blz,70730,1997
blz,62240,2002
blz,56810,2007
ben,4297,1962
ben,3901,1967
ben,3468,1972
ben,3036,1977
ben,2597,1982
ben,2197,1987
ben,1848,1992
ben,1559,1997
ben,1337,2002
ben,1176,2007
btn,402900,1962
btn,351200,1967
btn,296800,1972
btn,247400,1977
btn,213500,1982
btn,185000,1987
btn,177600,1992
btn,183900,1997
btn,160800,2002
btn,146400,2007
bol,86640,1962
bol,77350,1967
bol,68650,1972
bol,60770,1977
bol,54260,1982
bol,48710,1987
bol,43450,1992
bol,38850,1997
bol,35040,2002
bol,32450,2007
bih,8953,1992
bih,10250,1997
bih,9148,2002
bih,9041,2007
bwa,4302,1962
bwa,3752,1967
bwa,3214,1972
bwa,2695,1977
bwa,2251,1982
bwa,1921,1987
bwa,1657,1992
bwa,1465,1997
bwa,1352,2002
bwa,1292,2007
bra,70140,1962
bra,60880,1967
bra,53790,1972
bra,47800,1977
bra,42530,1982
bra,38240,1987
bra,35080,1992
bra,32530,1997
bra,30230,2002
bra,28620,2007
brn,94890,1962
brn,75450,1967
brn,59940,1972
brn,48900,1977
brn,41460,1982
brn,36020,1987
brn,31260,1992
brn,27400,1997
brn,24320,2002
brn,22250,2007
bgr,2622,1962
bgr,2523,1967
bgr,2444,1972
bgr,2391,1977
bgr,2356,1982
bgr,2348,1987
bgr,2427,1992
bgr,2562,1997
bgr,2660,2002
bgr,2730,2007
bfa,2659,1962
bfa,2441,1967
bfa,2195,1972
bfa,1960,1977
bfa,1747,1982
bfa,1536,1987
bfa,1329,1992
bfa,1149,1997
bfa,987,2002
bfa,870.6,2007
bdi,3303,1962
bdi,3011,1967
bdi,2812,1972
bdi,2635,1977
bdi,2284,1982
bdi,1926,1987
bdi,1691,1992
bdi,1577,1997
bdi,1427,2002
bdi,1231,2007
khm,21160,1962
khm,18580,1967
khm,16980,1972
khm,17500,1977
khm,16910,1982
khm,13800,1987
khm,11610,1992
khm,10060,1997
khm,9094,2002
khm,8493,2007
cmr,48360,1962
cmr,43040,1967
cmr,37890,1972
cmr,32900,1977
cmr,28360,1982
cmr,24420,1987
cmr,21060,1992
cmr,18480,1997
cmr,16420,2002
cmr,15020,2007
can,153000,1962
can,139000,1967
can,127600,1972
can,120300,1977
can,113900,1982
can,107300,1987
can,100400,1992
can,95450,1997
can,91030,2002
can,87490,2007
cpv,1439,1962
cpv,1223,1967
cpv,1096,1972
cpv,1068,1977
cpv,1002,1982
cpv,901.5,1987
cpv,804.8,1992
cpv,713.7,1997
cpv,635.1,2002
cpv,578.5,2007
caf,88830,1962
caf,80220,1967
caf,72580,1972
caf,65410,1977
caf,57200,1982
caf,50250,1987
caf,44390,1992
caf,38900,1997
caf,35270,2002
caf,33060,2007
tcd,4841,1962
tcd,4349,1967
tcd,3880,1972
tcd,3462,1977
tcd,3106,1982
tcd,2700,1987
tcd,2306,1992
tcd,1965,1997
tcd,1645,2002
tcd,1433,2007
chl,109900,1962
chl,97920,1967
chl,89120,1972
chl,82500,1977
chl,76720,1982
chl,70650,1987
chl,64680,1992
chl,59620,1997
chl,56040,2002
chl,53690,2007
chn,4100,1962
chn,3644,1967
chn,3210,1972
chn,2919,1977
chn,2729,1982
chn,2544,1987
chn,2377,1992
chn,2260,1997
chn,2171,2002
chn,2117,2007
col,118100,1962
col,101900,1967
col,89410,1972
col,79720,1977
col,71290,1982
col,64240,1987
col,58310,1992
col,53290,1997
col,49090,2002
col,46360,2007
com,5364,1962
com,4748,1967
com,4141,1972
com,3497,1977
com,2894,1982
com,2482,1987
com,2153,1992
com,1867,1997
com,1626,2002
com,1466,2007
cog,210400,1962
cog,183500,1967
cog,157900,1972
cog,135100,1977
cog,115900,1982
cog,99920,1987
cog,86550,1992
cog,75140,1997
cog,65930,2002
cog,60170,2007
cri,78580,1962
cri,66890,1967
cri,58850,1972
cri,52020,1977
cri,45290,1982
cri,39500,1987
cri,34800,1992
cri,30750,1997
cri,27440,2002
cri,25550,2007
civ,20090,1962
civ,16470,1967
civ,13290,1972
civ,10620,1977
civ,8376,1982
civ,6732,1987
civ,5620,1992
civ,4846,1997
civ,4343,2002
civ,4062,2007
hrv,8215,1992
hrv,8164,1997
hrv,8367,2002
hrv,8275,2007
cub,5117,1962
cub,4615,1967
cub,4226,1972
cub,3960,1977
cub,3844,1982
cub,3708,1987
cub,3543,1992
cub,3457,1997
cub,3403,2002
cub,3383,2007
cyp,1350,1962
cyp,1310,1967
cyp,1266,1972
cyp,1286,1977
cyp,1252,1982
cyp,1181,1987
cyp,1116,1992
cyp,1036,1997
cyp,966.4,2002
cyp,922.4,2007
cze,1279,1997
cze,1289,2002
cze,1291,2007
prk,5837,1962
prk,5135,1967
prk,4456,1972
prk,4043,1977
prk,3764,1982
prk,3474,1987
prk,3225,1992
prk,3009,1997
prk,2879,2002
prk,2826,2007
cod,55310,1962
cod,47970,1967
cod,41130,1972
cod,35220,1977
cod,30250,1982
cod,26150,1987
cod,22000,1992
cod,18930,1997
cod,16810,2002
cod,14840,2007
dnk,1291,1962
dnk,1242,1967
dnk,1203,1972
dnk,1178,1977
dnk,1171,1982
dnk,1173,1987
dnk,1161,1992
dnk,1138,1997
dnk,1117,2002
dnk,1105,2007
dji,3137,1962
dji,2252,1967
dji,1652,1972
dji,1110,1977
dji,824.9,1982
dji,647.7,1987
dji,506.4,1992
dji,452.2,1997
dji,393.3,2002
dji,366.5,2007
dom,5862,1962
dom,4993,1967
dom,4318,1972
dom,3795,1977
dom,3385,1982
dom,3052,1987
dom,2770,1992
dom,2528,1997
dom,2324,2002
dom,2184,2007
ecu,91810,1962
ecu,79110,1967
ecu,68240,1972
ecu,59050,1977
ecu,51380,1982
ecu,45150,1987
ecu,40230,1992
ecu,36650,1997
ecu,34230,2002
ecu,32720,2007
egy,61.44,1962
egy,54.52,1967
egy,49,1972
egy,44.03,1977
egy,39.32,1982
egy,34.9,1987
egy,31.37,1992
egy,28.59,1997
egy,26.08,2002
egy,24.26,2007
slv,6486,1962
slv,5481,1967
slv,4653,1972
slv,4101,1977
slv,3798,1982
slv,3639,1987
slv,3347,1992
slv,3028,1997
slv,2777,2002
slv,2625,2007
gnq,100900,1962
gnq,91720,1967
gnq,96890,1972
gnq,126200,1977
gnq,106100,1982
gnq,80280,1987
gnq,73240,1992
gnq,64870,1997
gnq,57610,2002
gnq,52460,2007
eri,838.2,1997
eri,700.1,2002
eri,596.7,2007
est,8331,1992
est,9072,1997
est,9369,2002
est,9487,2007
eth,1908,1997
eth,1668,2002
eth,1506,2007
fji,67660,1962
fji,58520,1967
fji,52630,1972
fji,47800,1977
fji,42860,1982
fji,39760,1987
fji,38650,1992
fji,36460,1997
fji,35130,2002
fji,34260,2007
fin,23810,1962
fin,23340,1967
fin,23040,1972
fin,22580,1977
fin,22170,1982
fin,21670,1987
fin,21250,1992
fin,20820,1997
fin,20570,2002
fin,20340,2007
fra,3805,1962
fra,3594,1967
fra,3460,1972
fra,3354,1977
fra,3281,1982
fra,3196,1987
fra,3112,1992
fra,3047,1997
fra,2983,2002
fra,2910,2007
guf,3816000,1962
guf,3103000,1967
guf,2626000,1972
guf,2228000,1977
guf,1785000,1982
guf,1351000,1987
guf,1066000,1992
guf,900400,1997
guf,760900,2002
guf,679600,2007
pyf,118800,1962
pyf,100300,1967
pyf,84530,1972
pyf,72450,1977
pyf,62400,1982
pyf,54710,1987
pyf,49110,1992
pyf,44650,1997
pyf,40960,2002
pyf,38570,2007
gab,333800,1962
gab,321800,1967
gab,297000,1972
gab,260800,1977
gab,227400,1982
gab,195900,1987
gab,168500,1992
gab,147900,1997
gab,133600,2002
gab,125100,2007
gmb,7861,1962
gmb,6804,1967
gmb,5831,1972
gmb,4930,1977
gmb,4188,1982
gmb,3500,1987
gmb,2891,1992
gmb,2406,1997
gmb,2031,2002
gmb,1804,2007
geo,10900,1992
geo,11900,1997
geo,12600,2002
geo,13110,2007
deu,1445,1962
deu,1389,1967
deu,1362,1972
deu,1361,1977
deu,1373,1982
deu,1369,1987
deu,1331,1992
deu,1304,1997
deu,1297,2002
deu,1295,2007
gha,4006,1962
gha,3554,1967
gha,3173,1972
gha,2829,1977
gha,2496,1982
gha,2116,1987
gha,1838,1992
gha,1613,1997
gha,1436,2002
gha,1317,2007
grc,6879,1962
grc,6708,1967
grc,6538,1972
grc,6254,1977
grc,5921,1982
grc,5795,1987
grc,5607,1992
grc,5364,1997
grc,5254,2002
grc,5215,2007
grl,17120000,1962
grl,14260000,1967
grl,12510000,1972
grl,12100000,1977
grl,11780000,1982
grl,11100000,1987
grl,10820000,1992
grl,10810000,1997
grl,10640000,2002
grl,10430000,2007
gtm,25000,1962
gtm,21850,1967
gtm,19070,1972
gtm,16750,1977
gtm,14810,1982
gtm,13130,1987
gtm,11700,1992
gtm,10430,1997
gtm,9260,2002
gtm,8382,2007
gin,69810,1962
gin,62750,1967
gin,58140,1972
gin,53840,1977
gin,46980,1982
gin,41270,1987
gin,34560,1992
gin,29270,1997
gin,26550,2002
gin,24620,2007
gnb,28770,1962
gnb,28360,1967
gnb,26550,1972
gnb,22700,1977
gnb,19130,1982
gnb,17090,1987
gnb,14780,1992
gnb,12690,1997
gnb,10990,2002
gnb,9723,2007
guy,401500,1962
guy,357500,1967
guy,333900,1972
guy,323100,1977
guy,316200,1982
guy,324200,1987
guy,329200,1992
guy,326600,1997
guy,327400,2002
guy,326100,2007
hti,3231,1962
hti,2924,1967
hti,2666,1972
hti,2434,1977
hti,2184,1982
hti,1949,1987
hti,1758,1992
hti,1600,1997
hti,1468,2002
hti,1377,2007
hnd,44820,1962
hnd,38580,1967
hnd,33730,1972
hnd,29020,1977
hnd,24820,1982
hnd,21370,1987
hnd,18570,1992
hnd,16470,1997
hnd,14880,2002
hnd,13770,2007
hun,597.3,1962
hun,586.8,1967
hun,576.2,1972
hun,564.9,1977
hun,561.4,1982
hun,572.2,1987
hun,580.3,1992
hun,582.9,1997
hun,590.3,2002
hun,596.5,2007
isl,929700,1962
isl,863000,1967
isl,810600,1972
isl,764900,1977
isl,729200,1982
isl,688700,1987
isl,654100,1992
isl,623300,1997
isl,592400,2002
isl,569600,2007
ind,2715,1962
ind,2447,1967
ind,2196,1972
ind,1962,1977
ind,1749,1982
ind,1564,1987
ind,1404,1992
ind,1271,1997
ind,1165,2002
ind,1094,2007
idn,28320,1962
idn,25270,1967
idn,22470,1972
idn,20040,1977
idn,18010,1982
idn,16340,1987
idn,15040,1992
idn,13970,1997
idn,13050,2002
idn,12400,2007
irn,5612,1962
irn,4872,1967
irn,4210,1972
irn,3626,1977
irn,3006,1982
irn,2472,1987
irn,2171,1992
irn,2010,1997
irn,1907,2002
irn,1829,2007
irq,4508,1962
irq,3843,1967
irq,3254,1972
irq,2750,1977
irq,2351,1982
irq,2055,1987
irq,1790,1992
irq,1530,1997
irq,1338,2002
irq,1235,2007
irl,17260,1962
irl,16910,1967
irl,16170,1972
irl,14970,1977
irl,14100,1982
irl,13860,1987
irl,13860,1992
irl,13340,1997
irl,12480,2002
irl,11610,2007
isr,327.1,1962
isr,277.9,1967
isr,244.1,1972
isr,212.4,1977
isr,192.1,1982
isr,177.2,1987
isr,155.3,1992
isr,132,1997
isr,118.4,2002
isr,110.1,2007
ita,3582,1962
ita,3455,1967
ita,3348,1972
ita,3263,1977
ita,3226,1982
ita,3224,1987
ita,3206,1992
ita,3177,1997
ita,3144,2002
ita,3105,2007
jam,5601,1962
jam,5213,1967
jam,4885,1972
jam,4565,1977
jam,4273,1982
jam,4034,1987
jam,3900,1992
jam,3719,1997
jam,3578,2002
jam,3485,2007
jpn,4483,1962
jpn,4262,1967
jpn,4012,1972
jpn,3776,1977
jpn,3627,1982
jpn,3523,1987
jpn,3457,1992
jpn,3409,1997
jpn,3373,2002
jpn,3361,2007
jor,708.7,1962
jor,524.9,1967
jor,384.8,1972
jor,334.2,1977
jor,283.9,1982
jor,236.2,1987
jor,185.9,1992
jor,150.2,1997
jor,134.9,2002
jor,119,2007
kaz,4591,1992
kaz,4874,1997
kaz,5050,2002
kaz,4925,2007
ken,2395,1962
ken,2034,1967
ken,1710,1972
ken,1423,1977
ken,1178,1982
