geo,internal_renewable_water_cu_meters_per_person,time
ken,978.7,1987
ken,827.3,1992
ken,715.9,1997
ken,628.9,2002
ken,566.3,2007
kgz,11640,1987
kgz,10370,1992
kgz,9833,1997
kgz,9185,2002
kgz,8833,2007
lao,91170,1962
lao,80560,1967
lao,70510,1972
lao,63730,1977
lao,58810,1982
lao,51130,1987
lao,44030,1992
lao,38710,1997
lao,35250,2002
lao,33060,2007
lva,6409,1992
lva,6875,1997
lva,7139,2002
lva,7313,2007
lbn,2389,1962
lbn,2099,1967
lbn,1866,1972
lbn,1731,1977
lbn,1700,1982
lbn,1656,1987
lbn,1520,1992
lbn,1322,1997
lbn,1241,2002
lbn,1184,2007
lso,5931,1962
lso,5386,1967
lso,4858,1972
lso,4346,1977
lso,3826,1982
lso,3420,1987
lso,3176,1992
lso,2926,1997
lso,2707,2002
lso,2622,2007
lbr,180300,1962
lbr,157200,1967
lbr,136100,1972
lbr,117500,1977
lbr,99640,1982
lbr,91270,1987
lbr,96550,1992
lbr,80760,1997
lbr,61600,2002
lbr,55880,2007
lby,413.4,1962
lby,341.1,1967
lby,276.5,1972
lby,223.7,1977
lby,177.5,1982
lby,146.9,1987
lby,131.9,1992
lby,119.3,1997
lby,107.8,2002
lby,99.36,2007
ltu,4213,1992
ltu,4349,1997
ltu,4487,2002
ltu,4566,2007
lux,3115,1962
lux,2988,1967
lux,2883,1972
lux,2757,1977
lux,2743,1982
lux,2695,1987
lux,2554,1992
lux,2379,1997
lux,2247,2002
lux,2168,2007
mdg,59690,1962
mdg,52560,1967
mdg,46150,1972
mdg,40400,1977
mdg,35160,1982
mdg,30510,1987
mdg,26420,1992
mdg,22760,1997
mdg,19660,2002
mdg,17590,2007
mwi,4366,1962
mwi,3867,1967
mwi,3366,1972
mwi,2860,1977
mwi,2465,1982
mwi,1982,1987
mwi,1648,1992
mwi,1522,1997
mwi,1316,2002
mwi,1189,2007
mys,66890,1962
mys,57750,1967
mys,50840,1972
mys,45200,1977
mys,40090,1982
mys,34920,1987
mys,30390,1992
mys,26770,1997
mys,23910,2002
mys,22210,2007
mdv,292.8,1962
mdv,264.1,1967
mdv,235.7,1972
mdv,206.8,1977
mdv,179,1982
mdv,153.2,1987
mdv,131,1992
mdv,116,1997
mdv,106.5,2002
mdv,99.9,2007
mli,14400,1962
mli,13100,1967
mli,11790,1972
mli,10550,1977
mli,9459,1982
mli,8423,1987
mli,7432,1992
mli,6514,1997
mli,5657,2002
mli,5013,2007
mlt,163.3,1962
mlt,166.4,1967
mlt,167.2,1972
mlt,162.6,1977
mlt,151.8,1982
mlt,143.9,1987
mlt,137.5,1992
mlt,132,1997
mlt,128,2002
mlt,124.8,2007
mrt,426.5,1962
mrt,375.9,1967
mrt,329.7,1972
mrt,288.4,1977
mrt,252.3,1982
mrt,221.8,1987
mrt,195.1,1992
mrt,169.9,1997
mrt,147,2002
mrt,131.4,2007
mus,3939,1962
mus,3506,1967
mus,3228,1972
mus,2983,1977
mus,2782,1982
mus,2669,1987
mus,2543,1992
mus,2391,1997
mus,2276,2002
mus,2198,2007
mex,10130,1962
mex,8645,1967
mex,7380,1972
mex,6367,1977
mex,5646,1982
mex,5134,1987
mex,4699,1992
mex,4296,1997
mex,4020,2002
mex,3883,2007
mng,34470,1962
mng,30130,1967
mng,26180,1972
mng,22730,1977
mng,19840,1982
mng,17110,1987
mng,15110,1992
mng,14350,1997
mng,13870,2002
mng,13360,2007
mar,2363,1962
mar,2057,1967
mar,1801,1972
mar,1597,1977
mar,1405,1982
mar,1242,1987
mar,1128,1992
mar,1046,1997
mar,983.2,2002
mar,939.9,2007
moz,12600,1962
moz,11340,1967
moz,10160,1972
moz,8950,1977
moz,7885,1982
moz,7510,1987
moz,7005,1992
moz,5943,1997
moz,5242,2002
moz,4783,2007
mmr,40040,1962
mmr,35830,1967
mmr,31760,1972
mmr,28200,1977
mmr,25380,1982
mmr,23070,1987
mmr,21280,1992
mmr,19880,1997
mmr,18830,2002
mmr,18200,2007
nam,9801,1962
nam,8652,1967
nam,7516,1972
nam,6599,1977
nam,5949,1982
nam,4982,1987
nam,4054,1992
nam,3517,1997
nam,3172,2002
nam,3010,2007
npl,19020,1962
npl,17330,1967
npl,15630,1972
npl,13990,1977
npl,12490,1982
npl,11130,1987
npl,9865,1992
npl,8706,1997
npl,7775,2002
npl,7170,2007
nld,931.6,1962
nld,872.7,1967
nld,826.7,1972
nld,792.5,1977
nld,769.8,1982
nld,750.3,1987
nld,725.9,1992
nld,702.8,1997
nld,683.1,2002
nld,671.6,2007
nzl,132000,1962
nzl,120900,1967
nzl,111500,1972
nzl,105200,1977
nzl,103700,1982
nzl,98940,1987
nzl,93070,1992
nzl,87210,1997
nzl,82820,2002
nzl,78990,2007
nic,101200,1962
nic,86980,1967
nic,74390,1972
nic,63670,1977
nic,55110,1982
nic,48890,1987
nic,43660,1992
nic,39080,1997
nic,36100,2002
nic,34300,2007
ner,1075,1962
ner,914,1967
ner,778.9,1972
ner,664.5,1977
ner,570,1982
ner,491.4,1987
ner,418.6,1992
ner,350.7,1997
ner,293.1,2002
ner,254.8,2007
nga,4982,1962
nga,4424,1967
nga,3912,1972
nga,3404,1977
nga,2941,1982
nga,2556,1987
nga,2208,1992
nga,1919,1997
nga,1683,2002
nga,1527,2007
nor,105000,1962
nor,100900,1967
nor,97090,1972
nor,94470,1977
nor,92910,1982
nor,91290,1987
nor,89130,1992
nor,86640,1997
nor,84000,2002
nor,81820,2007
pse,705.3,1962
pse,700.4,1967
pse,717.3,1972
pse,607.1,1977
pse,510.8,1982
pse,422.3,1987
pse,348.6,1992
pse,287.8,1997
pse,239.7,2002
pse,208.8,2007
omn,2358,1962
omn,2063,1967
omn,1741,1972
omn,1381,1977
omn,1060,1982
omn,846,1987
omn,707.8,1992
omn,613.7,1997
omn,572.8,2002
omn,549.8,2007
pak,1132,1962
pak,998.8,1967
pak,875,1972
pak,761.4,1977
pak,647,1982
pak,537.7,1987
pak,461.9,1992
pak,409.2,1997
pak,366.6,2002
pak,341.7,2007
pan,123500,1962
pan,106700,1967
pan,92610,1972
pan,81310,1977
pan,72280,1982
pan,65010,1987
pan,58690,1992
pan,53010,1997
pan,48130,2002
pan,44840,2007
png,371300,1962
png,335400,1967
png,299400,1972
png,267700,1977
png,238200,1982
png,209300,1987
png,184100,1992
png,161200,1997
png,141500,2002
png,129200,2007
pry,46760,1962
pry,40910,1967
pry,36040,1972
pry,31870,1977
pry,27740,1982
pry,23990,1987
pry,21040,1992
pry,18730,1997
pry,16870,2002
pry,15630,2007
per,153700,1962
per,133200,1967
per,115800,1972
per,100900,1977
per,88790,1982
per,79130,1987
per,71410,1992
per,65660,1997
per,61400,2002
per,58570,2007
phl,16640,1962
phl,14300,1967
phl,12390,1972
phl,10790,1977
phl,9478,1982
phl,8403,1987
phl,7469,1992
phl,6692,1997
phl,6026,2002
phl,5553,2007
pol,1761,1962
pol,1677,1967
pol,1616,1972
pol,1549,1977
pol,1478,1982
pol,1424,1987
pol,1397,1992
pol,1389,1997
pol,1398,2002
pol,1405,2007
prt,4242,1962
prt,4286,1967
prt,4338,1972
prt,4054,1977
prt,3831,1982
prt,3795,1987
prt,3806,1992
prt,3766,1997
prt,3673,2002
prt,3592,2007
pri,2902,1962
pri,2689,1967
pri,2541,1972
pri,2332,1977
pri,2166,1982
pri,2065,1987
pri,1975,1992
pri,1890,1997
pri,1829,2002
pri,1789,2007
qat,1058,1962
qat,664.5,1967
qat,415.8,1972
qat,294.3,1977
qat,202.2,1982
qat,136.7,1987
qat,113.5,1992
qat,101.3,1997
qat,81.51,2002
qat,68.18,2007
kor,2453,1962
kor,2169,1967
kor,1948,1972
kor,1778,1977
kor,1653,1982
kor,1556,1987
kor,1483,1992
kor,1416,1997
kor,1372,2002
kor,1350,2007
mda,226.7,1992
mda,232.3,1997
mda,248,2002
mda,260.9,2007
reu,14100,1962
reu,11910,1967
reu,10550,1972
reu,10200,1977
reu,9546,1982
reu,8707,1987
reu,7975,1992
reu,7269,1997
reu,6675,2002
reu,6280,2007
rou,2269,1962
rou,2171,1967
rou,2046,1972
rou,1954,1977
rou,1885,1982
rou,1841,1987
rou,1833,1992
rou,1884,1997
rou,1929,2002
rou,1965,2007
rus,28880,1992
rus,29010,1997
rus,29510,2002
rus,30110,2007
rwa,3159,1962
rwa,2788,1967
rwa,2363,1972
rwa,2019,1977
rwa,1719,1982
rwa,1399,1987
rwa,1438,1992
rwa,1493,1997
rwa,1084,2002
rwa,1004,2007
kna,470.9,1962
kna,506.6,1967
kna,541.4,1972
kna,546.4,1977
kna,561.7,1982
kna,581.4,1987
kna,580.7,1992
kna,542.1,1997
kna,507.7,2002
kna,482.2,2007
stp,33810,1962
stp,32230,1967
stp,28350,1972
stp,25050,1977
stp,22130,1982
stp,20090,1987
stp,18030,1992
stp,16420,1997
stp,15020,2002
stp,14050,2007
sau,553.7,1962
sau,467.7,1967
sau,383.2,1972
sau,297.1,1977
sau,221.7,1982
sau,167.7,1987
sau,140,1992
sau,125,1997
sau,109.5,2002
sau,99.27,2007
sen,7448,1962
sen,6430,1967
sen,5510,1972
sen,4770,1977
sen,4150,1982
sen,3573,1987
sen,3089,1992
sen,2702,1997
sen,2369,2002
sen,2137,2007
scg,4219,1992
scg,4039,1997
scg,4127,2002
scg,4202,2007
sle,68590,1962
sle,62720,1967
sle,57270,1972
sle,52360,1977
sle,47670,1982
sle,42090,1987
sle,38690,1992
sle,37950,1997
sle,32490,2002
sle,27860,2007
sgp,344.2,1962
sgp,305.9,1967
sgp,278.7,1972
sgp,258.9,1977
sgp,238.1,1982
sgp,212.5,1987
sgp,188.6,1992
sgp,162,1997
sgp,144.1,2002
sgp,136.9,2007
svk,2341,1997
svk,2339,2002
svk,2338,2007
svn,9460,1997
svn,9378,2002
svn,9331,2007
slb,356000,1962
slb,306300,1967
slb,258900,1972
slb,216300,1977
slb,181900,1982
slb,155000,1987
slb,134600,1992
slb,116800,1997
slb,102100,2002
slb,92350,2007
som,2033,1962
som,1793,1967
som,1632,1972
som,1184,1977
som,898.5,1982
som,913.5,1987
som,920.8,1992
som,932.7,1997
som,800.6,2002
som,710.4,2007
zaf,2445,1962
zaf,2149,1967
zaf,1887,1972
zaf,1659,1977
zaf,1463,1982
zaf,1304,1987
zaf,1164,1992
zaf,1036,1997
zaf,961.8,2002
zaf,927.9,2007
esp,3580,1962
esp,3398,1967
esp,3221,1972
esp,3048,1977
esp,2927,1982
esp,2880,1987
esp,2847,1992
esp,2812,1997
esp,2687,2002
esp,2534,2007
lka,4903,1962
lka,4344,1967
lka,3882,1972
lka,3522,1977
lka,3251,1982
lka,3039,1987
lka,2852,1992
lka,2721,1997
lka,2647,2002
lka,2603,2007
sdn,2506,1962
sdn,2232,1967
sdn,1957,1972
sdn,1681,1977
sdn,1428,1982
sdn,1239,1987
sdn,1100,1992
sdn,966.4,1997
sdn,863.2,2002
sdn,795.6,2007
sur,287100,1962
sur,250500,1967
sur,235600,1972
sur,245500,1977
sur,241400,1982
sur,224200,1987
sur,215900,1992
sur,207700,1997
sur,198400,2002
sur,193300,2007
swz,7126,1962
swz,6317,1967
swz,5488,1972
swz,4703,1977
swz,4052,1982
swz,3405,1987
swz,2911,1992
swz,2643,1997
swz,2424,2002
swz,2329,2007
swe,22580,1962
swe,21750,1967
swe,21060,1972
swe,20740,1977
swe,20550,1982
swe,20330,1987
swe,19700,1992
swe,19310,1997
swe,19170,2002
swe,18840,2007
che,7266,1962
che,6719,1967
che,6441,1972
che,6383,1977
che,6333,1982
che,6075,1987
che,5800,1992
che,5613,1997
che,5516,2002
che,5419,2007
syr,1452,1962
syr,1237,1967
syr,1047,1972
syr,884.1,1977
syr,737.2,1982
syr,615.9,1987
syr,529,1992
syr,464.9,1997
syr,409.6,2002
syr,367.5,2007
tjk,14550,1987
tjk,12010,1992
tjk,11170,1997
tjk,10490,2002
tjk,9985,2007
tha,7134,1962
tha,6130,1967
tha,5352,1972
tha,4763,1977
tha,4331,1982
tha,4019,1987
tha,3777,1992
tha,3570,1997
tha,3405,2002
tha,3310,2007
mkd,2792,1992
mkd,2723,1997
mkd,2671,2002
mkd,2652,2007
tgo,7130,1962
tgo,6145,1967
tgo,5056,1972
tgo,4485,1977
tgo,3845,1982
tgo,3192,1987
tgo,2760,1992
tgo,2373,1997
tgo,2002,2002
tgo,1794,2007
tto,4419,1962
tto,4148,1967
tto,3883,1972
tto,3710,1977
tto,3423,1982
tto,3197,1987
tto,3091,1992
tto,2991,1997
tto,2931,2002
tto,2891,2007
tun,958.6,1962
tun,870,1967
tun,787.6,1972
tun,704,1977
tun,616.8,1982
tun,545.4,1987
tun,491.1,1992
tun,454.7,1997
tun,428.9,2002
tun,410.7,2007
tur,7640,1962
tur,6756,1967
tur,5950,1972
tur,5254,1977
tur,4668,1982
tur,4182,1987
tur,3817,1992
tur,3495,1997
tur,3237,2002
tur,3071,2007
tkm,421.7,1987
tkm,350.1,1992
tkm,313.8,1997
tkm,293.7,2002
tkm,277.6,2007
uga,5388,1962
uga,4549,1967
uga,3897,1972
uga,3374,1977
uga,2902,1982
uga,2449,1987
uga,2033,1992
uga,1727,1997
uga,1484,2002
uga,1304,2007
ukr,1031,1992
ukr,1057,1997
ukr,1106,2002
ukr,1141,2007
are,1380,1962
are,920.6,1967
are,473.1,1972
are,208.8,1977
are,127.1,1982
are,94.79,1987
are,72.46,1992
are,54.86,1997
are,41.63,2002
are,35.31,2007
gbr,2729,1962
gbr,2637,1967
gbr,2591,1972
gbr,2576,1977
gbr,2573,1982
gbr,2553,1987
gbr,2521,1992
gbr,2488,1997
gbr,2442,2002
gbr,2396,2007
tza,7865,1962
tza,6774,1967
tza,5794,1972
tza,4938,1977
tza,4224,1982
tza,3619,1987
tza,3084,1992
tza,2667,1997
tza,2359,2002
tza,2129,2007
usa,14600,1962
usa,13730,1967
usa,13080,1972
usa,12480,1977
usa,11880,1982
usa,11280,1987
usa,10700,1992
usa,10140,1997
usa,9628,2002
usa,9246,2007
ury,22670,1962
ury,21460,1967
ury,20920,1972
ury,20660,1977
ury,19990,1982
ury,19370,1987
ury,18730,1992
ury,18070,1997
ury,17740,2002
ury,17710,2007
uzb,759.7,1992
uzb,689.8,1997
uzb,642,2002
uzb,605.6,2007
ven,88420,1962
ven,74350,1967
ven,62960,1972
ven,52870,1977
ven,45190,1982
ven,39550,1987
ven,34940,1992
ven,31400,1997
ven,28520,2002
ven,26570,2007
vnm,10370,1962
vnm,9166,1967
vnm,8158,1972
vnm,7339,1977
vnm,6627,1982
vnm,5925,1987
vnm,5302,1992
vnm,4839,1997
vnm,4500,2002
vnm,4251,2007
yem,385.6,1962
yem,348,1967
yem,316.6,1972
yem,278.6,1977
yem,232.4,1982
yem,192.4,1987
yem,154.9,1992
yem,126.2,1997
yem,108.8,2002
yem,96.63,2007
zmb,24100,1962
zmb,20690,1967
zmb,17580,1972
zmb,14870,1977
zmb,12640,1982
zmb,10790,1987
zmb,9354,1992
zmb,8232,1997
zmb,7378,2002
zmb,6857,2007
zwe,3062,1962
zwe,2600,1967
zwe,2201,1972
zwe,1864,1977
zwe,1558,1982
zwe,1288,1987
zwe,1108,1992
zwe,1005,1997
zwe,953.4,2002
zwe,926.8,2007
