@@,geo,time,income_share_of_middle_20percent,changes(%)
+++,alb,1996,17.73,
+++,alb,2008,16.83,
+++,alb,2012,17.34,
---,dza,1995,16.31,
->,ago,2000,10.79->12.71,17.79
+++,ago,2008,14.46,
+++,arg,1987,14.21,
+++,arg,1991,13.29,
+++,arg,1993,14.32,
+++,arg,1994,14.03,
+++,arg,1995,13.27,
+++,arg,1997,13.25,
+++,arg,1999,13.09,
+++,arg,2000,12.77,
+++,arg,2001,12.26,
+++,arg,2003,12.18,
+++,arg,2004,13.19,
+++,arg,2006,13.73,
+++,arg,2007,13.97,
+++,arg,2008,14.22,
+++,arg,2009,14.56,
+++,arg,2010,14.54,
+++,arg,2011,14.79,
+++,arg,2012,15.13,
+++,arg,2013,15.19,
+++,arg,2014,14.92,
+++,arm,2001,15.63,
+++,arm,2004,14.99,
+++,arm,2005,15.23,
+++,arm,2006,16.28,
+++,arm,2007,17.14,
+++,arm,2008,16.66,
+++,arm,2009,16.83,
+++,arm,2010,16.58,
+++,arm,2011,16.45,
+++,arm,2012,16.96,
+++,arm,2013,16.64,
+++,arm,2014,16.87,
+++,aus,1981,16.89,
+++,aus,1985,16.62,
+++,aus,1989,16.62,
+++,aus,1995,16.78,
+++,aus,2001,16.51,
+++,aus,2003,16.5,
+++,aus,2008,15.94,
+++,aus,2010,16.14,
+++,aut,2004,17.24,
+++,aut,2005,17.48,
+++,aut,2006,17.2,
+++,aut,2007,17.32,
+++,aut,2008,17.51,
+++,aut,2009,17.35,
+++,aut,2010,17.47,
+++,aut,2011,17.38,
+++,aut,2012,17.5,
---,aus,1994,17.2,
+++,aze,2002,18.77,
+++,aze,2003,18.72,
+++,aze,2004,18.82,
+++,aze,2008,16.51,
+++,bgd,1983,17.91,
+++,bgd,1985,17.24,
+++,bgd,1988,16.96,
+++,bgd,1991,17.33,
+++,bgd,1995,15.68,
---,bgd,1992,17.58,
---,bgd,1996,16.39,
+++,bgd,2010,15.97,
+++,blr,1995,17.73,
---,blr,1997,17.97,
+++,blr,1999,17.15,
+++,blr,2001,17.23,
+++,blr,2003,17.51,
+++,blr,2004,17.87,
+++,blr,2006,17.69,
+++,blr,2007,17.3,
+++,blr,2008,17.68,
+++,blr,2009,17.69,
+++,blr,2010,17.51,
+++,blr,2011,17.8,
+++,blr,2012,17.88,
+++,blr,2013,17.76,
+++,blr,2014,17.66,
+++,bel,2004,17.15,
+++,bel,2005,17.39,
+++,bel,2006,17.74,
+++,bel,2007,17.45,
+++,bel,2008,17.65,
+++,bel,2009,17.7,
+++,bel,2010,17.81,
+++,bel,2011,18.01,
+++,bel,2012,18.01,
+++,blz,1993,10.05,
+++,blz,1994,9.75,
+++,blz,1995,11.15,
+++,blz,1996,10.68,
+++,blz,1997,10.21,
+++,blz,1998,11.27,
+++,blz,1999,12.01,
---,bel,2000,16.31,
+++,ben,2011,13.39,
+++,btn,2007,15.31,
+++,btn,2012,15.04,
+++,bol,1990,14.53,
+++,bol,1992,12.54,
---,bol,1991,14.76,
+++,bol,2000,10.43,
+++,bol,2001,11.15,
+++,bol,2004,11.42,
+++,bol,2006,11.45,
+++,bol,2007,11.57,
+++,bol,2008,12.99,
+++,bol,2009,13.88,
+++,bol,2011,14.33,
---,bwa,1995,9.64,
---,caf,1993,9.56,
---,chn,2005,14.66,
---,col,1995,11.03,
---,col,2006,10.98,
---,cod,2006,13.79,
---,civ,1993,15.56,
---,hrv,2005,17.47,
---,dji,1996,16.24,
---,egy,1991,16.27,
---,egy,1996,16.4,
---,slv,1989,14.52,
---,eth,1982,16.36,
---,eth,2000,16.72,
---,fin,2000,17.47,
---,fra,1995,17.19,
---,deu,2000,17.79,
---,gha,1989,16.03,
---,gha,1992,15.4,
---,gha,2006,14.73,
---,grc,2000,16.84,
---,gtm,1998,11.51,
---,gtm,2002,11.78,
---,gin,2003,14.11,
---,gnb,1991,12.02,
---,guy,1993,12.39,
---,hkg,1996,13.85,
---,irl,2000,16.31,
---,ita,2000,16.75,
---,jor,1992,14.03,
---,jor,1997,15.54,
---,jor,2003,15.23,
---,jor,2006,15.2,
---,kgz,1999,16.24,
---,lao,2003,16.18,
---,lso,1993,10.19,
---,lso,1995,9,
---,mdg,1980,13.35,
---,mwi,1998,12.32,
---,mrt,1996,15.96,
---,mng,2005,16.97,
---,mar,1991,14.99,
---,mar,1999,15.13,
---,mar,2001,14.73,
---,mar,2007,14.54,
---,moz,1997,13.86,
---,moz,2003,13.06,
---,nam,1993,5.46,
---,npl,1996,14.97,
---,npl,2004,12.45,
---,nld,1999,17.24,
---,nzl,1997,15.81,
->,nga->bol,1993->2012,14.57,
+++,bol,2013,14.01,
+++,bol,2014,13.73,
+++,bih,2007,16.6,
+++,bih,2011,16.57,
->,bwa,1986->1985,11.42,
->,bwa,1994->1993,9.76,
+++,bwa,2002,7.81,
+++,bwa,2009,9.54,
->,bra,1992,10.95->12.25,11.87
+++,bra,2004,10.93,
+++,bra,2006,11.23,
+++,bra,2008,11.8,
+++,bra,2009,11.98,
+++,bra,2011,12.3,
+++,bra,2012,12.44,
+++,bra,2013,12.4,
+++,bra,2014,12.64,
+++,bgr,1992,17.09,
+++,bgr,1995,15.97,
+++,bgr,2006,17.09,
+++,bgr,2007,17.92,
+++,bgr,2008,16.86,
+++,bgr,2009,16.98,
+++,bgr,2010,16.73,
+++,bgr,2011,17.08,
+++,bgr,2012,16.59,
+++,bfa,2009,14.66,
+++,bfa,2014,15.05,
+++,cpv,2007,13.04,
+++,khm,2008,15.52,
+++,khm,2009,15.54,
+++,khm,2010,15.59,
+++,khm,2011,15.94,
+++,khm,2012,16.3,
+++,cmr,2007,14,
+++,cmr,2014,13.72,
+++,can,1981,16.99,
+++,can,1987,17.1,
+++,can,1991,17.24,
+++,can,1994,17.25,
->,alb->can,1997,17.42,
+++,can,1998,17,
+++,can,2004,16.87,
+++,can,2007,16.64,
+++,can,2010,16.79,
+++,caf,1992,9.55,
+++,caf,2008,11.12,
+++,tcd,2011,14.8,
+++,chl,1992,10.98,
+++,chl,2009,11.74,
+++,chl,2011,11.86,
+++,chl,2013,12.05,
+++,chn,2008,14.6,
+++,chn,2012,14.85,
+++,col,1988,12.13,
+++,col,1989,11.85,
+++,col,1991,12.58,
+++,col,1992,12.24,
+++,col,2001,10.99,
+++,col,2002,10.35,
+++,col,2004,10.85,
+++,col,2005,11.19,
+++,col,2008,11.19,
+++,col,2009,11.16,
+++,col,2010,11.16,
+++,col,2011,11.59,
+++,col,2012,11.9,
+++,col,2013,11.85,
+++,col,2014,11.84,
->,com,2004,8.94->10.77,20.47
+++,cod,2004,14.34,
+++,cod,2012,14.49,
+++,cog,2011,13.17,
+++,cri,1989,14.65,
+++,cri,1991,14.37,
+++,cri,1992,14.38,
+++,cri,1994,13.98,
+++,cri,1995,14.32,
+++,cri,1997,14.23,
+++,cri,1999,13.5,
+++,cri,2002,12.77,
+++,cri,2004,13.15,
+++,cri,2006,12.87,
+++,cri,2007,12.69,
+++,cri,2008,12.75,
+++,cri,2009,12.34,
+++,cri,2010,12.9,
+++,cri,2011,12.87,
+++,cri,2012,12.91,
+++,cri,2013,12.56,
+++,cri,2014,12.87,
+++,civ,1986,15.15,
+++,civ,1992,15.33,
->,civ,2002,12.86->14.26,10.89
+++,civ,2008,14.32,
+++,hrv,2000,16.82,
+++,hrv,2004,17.15,
+++,hrv,2008,16.13,
+++,hrv,2009,16.3,
+++,hrv,2010,17.54,
+++,hrv,2011,17.52,
+++,hrv,2012,17.27,
+++,cyp,2004,16.98,
+++,cyp,2005,16.89,
+++,cyp,2006,16.69,
+++,cyp,2007,16.74,
+++,cyp,2008,16.56,
+++,cyp,2009,16.38,
+++,cyp,2010,16.42,
+++,cyp,2011,16.18,
+++,cyp,2012,15.81,
...,...,...,...,
+++,cze,2004,17.73,
+++,cze,2005,17.77,
+++,cze,2006,17.74,
+++,cze,2007,17.7,
+++,cze,2008,17.57,
+++,cze,2009,17.74,
+++,cze,2010,17.73,
+++,cze,2011,17.91,
+++,cze,2012,17.9,
+++,dnk,2004,18.12,
+++,dnk,2005,18.03,
+++,dnk,2006,17.86,
+++,dnk,2007,17.67,
+++,dnk,2008,18.46,
+++,dnk,2009,18.17,
+++,dnk,2010,17.89,
+++,dnk,2011,17.76,
+++,dnk,2012,17.48,
+++,dji,2012,14.44,
+++,dji,2013,14.55,
+++,dom,1997,13.28,
+++,dom,2001,12.53,
+++,dom,2002,12.82,
+++,dom,2004,12.06,
+++,dom,2006,12.02,
+++,dom,2007,12.99,
+++,dom,2008,12.78,
+++,dom,2009,12.78,
+++,dom,2010,13.19,
+++,dom,2011,13.07,
+++,dom,2012,13.59,
+++,dom,2013,13.18,
+++,ecu,1995,12.47,
+++,ecu,1999,10.73,
+++,ecu,2000,11.22,
->,ecu,2003,9.72->11.58,19.14
---,nor,2000,17.24,
---,pak,1991,16.3,
---,pak,1997,16.65,
---,pak,1999,15.89,
---,pak,2002,16.39,
---,pan,1979,13.13,
---,pan,1996,11.53,
->,pry->ecu,1998->2004,11.73,
+++,ecu,2006,11.93,
+++,ecu,2008,12.64,
+++,ecu,2009,13.03,
+++,ecu,2010,12.97,
+++,ecu,2011,13.81,
+++,ecu,2012,13.86,
+++,ecu,2013,13.31,
+++,ecu,2014,13.86,
+++,slv,1991,12.34,
+++,slv,1999,12.88,
+++,slv,2001,12.88,
+++,slv,2004,13.63,
+++,slv,2006,13.85,
+++,slv,2007,13.66,
+++,slv,2008,13.41,
+++,slv,2009,13.75,
+++,slv,2010,14.22,
+++,slv,2011,14.44,
+++,slv,2012,14.67,
+++,slv,2013,14.2,
+++,slv,2014,14.58,
+++,est,2001,15.85,
+++,est,2003,16.46,
+++,est,2005,16.32,
+++,est,2006,16.25,
+++,est,2007,16.76,
+++,est,2008,16.59,
+++,est,2009,16.93,
+++,est,2010,17.06,
+++,est,2011,16.64,
+++,est,2012,16.48,
+++,eth,1981,16.37,
+++,eth,1999,16.77,
+++,eth,2004,16.89,
+++,eth,2010,16.34,
+++,fji,2002,14.86,
+++,fji,2008,13.88,
+++,fin,2004,17.18,
+++,fin,2005,17.32,
+++,fin,2006,17.34,
+++,fin,2007,17.25,
+++,fin,2008,17.33,
+++,fin,2009,17.48,
+++,fin,2010,17.42,
+++,fin,2011,17.33,
+++,fin,2012,17.45,
+++,fra,2004,17,
+++,fra,2005,17.18,
+++,fra,2006,17.33,
+++,fra,2007,16.49,
+++,fra,2008,16.48,
+++,fra,2010,16.33,
+++,fra,2011,16.44,
+++,fra,2012,16.52,
+++,geo,1997,15.24,
+++,geo,1998,15.47,
+++,geo,2000,15.4,
+++,geo,2001,15.39,
+++,geo,2003,15.56,
+++,geo,2004,15.66,
+++,geo,2006,15.38,
+++,geo,2007,15.24,
+++,geo,2008,15.35,
+++,geo,2009,14.7,
->,mar->geo,1985->2010,15.07,
+++,geo,2011,15.3,
+++,geo,2012,15.18,
+++,geo,2013,15.38,
+++,geo,2014,15.35,
+++,deu,2006,16.9,
+++,deu,2007,16.78,
+++,deu,2008,16.94,
+++,deu,2009,16.84,
+++,deu,2010,17.13,
+++,deu,2011,17.23,
+++,gha,1987,16.3,
+++,gha,1991,15.22,
+++,gha,2005,14.63,
+++,grc,2004,16.94,
->,eth->grc,2005,16.78,
+++,grc,2006,16.72,
+++,grc,2007,17.06,
+++,grc,2008,17,
+++,grc,2009,17.12,
+++,grc,2010,17.15,
+++,grc,2011,17.4,
+++,grc,2012,17.18,
->,gtm,1987->1986,10.75,
+++,gtm,2011,11.97,
+++,gtm,2014,13.08,
+++,gin,2002,14.13,
+++,gin,2007,14.79,
+++,gin,2012,16.39,
+++,gnb,2010,12.22,
+++,hti,2012,9.97,
+++,hnd,1986,11.36,
+++,hnd,1989,10.24,
+++,hnd,1991,12.33,
+++,hnd,1993,11.78,
+++,hnd,1995,11.27,
+++,hnd,1996,11.38,
+++,hnd,1998,11.46,
+++,hnd,2001,12.02,
+++,hnd,2002,10.99,
+++,hnd,2004,10.74,
+++,hnd,2007,11.12,
+++,hnd,2008,11.57,
+++,hnd,2009,12.65,
+++,hnd,2010,11.91,
+++,hnd,2011,11.08,
+++,hnd,2012,11.16,
+++,hnd,2013,12.1,
+++,hnd,2014,12.95,
+++,hun,2000,17.5,
+++,hun,2001,17.69,
+++,hun,2003,17.06,
+++,hun,2005,17.54,
+++,hun,2007,17.91,
+++,hun,2008,18.03,
+++,hun,2009,18.22,
+++,hun,2010,17.71,
+++,hun,2011,17.89,
+++,hun,2012,17.6,
+++,isl,2004,17.16,
+++,isl,2005,17.12,
+++,isl,2006,16.73,
+++,isl,2007,16.83,
+++,isl,2008,16.42,
+++,isl,2009,17.3,
+++,isl,2010,17.99,
+++,isl,2011,18,
+++,isl,2012,17.86,
+++,irn,2009,14.84,
+++,irn,2013,15.59,
+++,irl,2004,16.41,
+++,irl,2005,16.16,
+++,irl,2006,16.44,
+++,irl,2007,16.46,
+++,irl,2008,16.96,
+++,irl,2009,16.73,
+++,irl,2010,16.92,
+++,irl,2011,16.84,
+++,irl,2012,16.75,
+++,isr,1986,16.17,
+++,isr,1992,16.27,
+++,isr,1997,15.94,
+++,isr,2005,15.42,
+++,isr,2007,15.7,
+++,isr,2010,15.48,
+++,ita,2004,16.91,
+++,ita,2005,17.11,
+++,ita,2006,17.02,
+++,ita,2007,17.2,
+++,ita,2008,17.11,
+++,ita,2009,17.16,
+++,ita,2010,17.09,
+++,ita,2011,17.02,
+++,ita,2012,16.97,
+++,kaz,2004,16.74,
+++,kaz,2005,17.15,
+++,kaz,2006,16.7,
+++,kaz,2007,17.13,
+++,kaz,2008,16.72,
+++,kaz,2009,16.91,
+++,kaz,2010,16.89,
+++,kaz,2011,17.25,
+++,kaz,2012,17.27,
+++,kaz,2013,17.45,
+++,kir,2006,15.91,
+++,kos,2003,17.17,
+++,kos,2005,16.73,
+++,kos,2006,16.85,
+++,kos,2009,16.82,
+++,kos,2010,16.21,
+++,kos,2011,17.38,
+++,kos,2012,17.24,
+++,kos,2013,17.68,
->,kgz,1998,15.81->14.16,10.44
+++,kgz,2000,16.44,
+++,kgz,2001,16.73,
+++,kgz,2003,16.78,
+++,kgz,2005,16.09,
+++,kgz,2006,15.12,
+++,kgz,2007,16.12,
+++,kgz,2008,16.74,
+++,kgz,2009,16.68,
+++,kgz,2010,16.91,
+++,kgz,2011,17.15,
+++,kgz,2012,17.3,
+++,kgz,2013,16.94,
+++,kgz,2014,17.17,
+++,lao,2007,15.12,
+++,lao,2012,15,
+++,lva,1995,17.26,
+++,lva,1997,16.71,
+++,lva,2003,15.55,
+++,lva,2005,15.37,
+++,lva,2006,16.24,
+++,lva,2007,15.87,
+++,lva,2008,16.15,
+++,lva,2009,16.38,
+++,lva,2010,17.14,
+++,lva,2011,16.46,
+++,lva,2012,16.51,
->,lso,1987->1986,11.25,
+++,lso,1994,8.96,
+++,lso,2002,12.81,
+++,lso,2010,11.88,
+++,ltu,1999,16.88,
+++,ltu,2000,17.05,
+++,ltu,2001,16.88,
+++,ltu,2003,15.99,
+++,ltu,2005,16.48,
+++,ltu,2006,16.5,
+++,ltu,2007,16.45,
+++,ltu,2008,16.25,
+++,ltu,2009,16.42,
+++,ltu,2010,17.57,
+++,ltu,2011,17.24,
+++,ltu,2012,16.62,
+++,lux,2004,17.23,
+++,lux,2005,17.11,
->,lux,2000->2006,17.1,
+++,lux,2007,17.02,
+++,lux,2008,16.7,
+++,lux,2009,17.26,
+++,lux,2010,17.36,
+++,lux,2011,17.08,
+++,lux,2012,16.51,
+++,mkd,2004,15.65,
+++,mkd,2005,15.42,
+++,mkd,2006,14.5,
+++,mkd,2008,13.87,
+++,mdg,1997,15.32,
->,mdg,2005,13.06->14.79,13.25
+++,mdg,2010,14.56,
+++,mdg,2012,14.13,
+++,mwi,1997,8.14,
+++,mwi,2010,13.25,
->,mys,2004,15.78->13.64,13.56
+++,mys,2007,13.64,
+++,mys,2009,13.67,
+++,mdv,2002,14.35,
+++,mdv,2009,15.72,
+++,mli,2009,16.16,
+++,mrt,1995,15.7,
->,nga->mrt,2004,14.68,
+++,mrt,2008,16.3,
+++,mrt,2014,16.97,
+++,mus,2006,15.55,
+++,mus,2012,15.72,
+++,mex,2008,12.91,
+++,mex,2010,12.92,
+++,mex,2012,12.75,
+++,mex,2014,12.67,
+++,fsm,2000,9.63,
+++,fsm,2005,14.29,
+++,fsm,2013,14.76,
+++,mda,1998,15.29,
->,mda,1999,15.86->14.07,11.29
+++,mda,2000,15.79,
+++,mda,2001,15.33,
+++,mda,2003,15.9,
+++,mda,2005,15.9,
+++,mda,2006,16.1,
+++,mda,2007,16.33,
+++,mda,2008,16.12,
+++,mda,2009,16.62,
+++,mda,2010,16.62,
+++,mda,2011,16.93,
+++,mda,2012,17.12,
+++,mda,2013,17.25,
+++,mda,2014,17.37,
+++,mng,2007,15.78,
+++,mng,2010,16.48,
+++,mng,2011,16.12,
+++,mng,2012,16.32,
+++,mng,2014,16.68,
+++,mne,2005,17.06,
+++,mne,2006,17.25,
+++,mne,2007,17.04,
+++,mne,2008,17.01,
+++,mne,2009,17,
+++,mne,2010,17.7,
+++,mne,2011,17.05,
+++,mne,2012,16.82,
+++,mne,2013,16.74,
+++,mne,2014,16.59,
+++,mar,1984,15.31,
+++,mar,1990,14.97,
+++,mar,1998,14.97,
+++,mar,2000,14.45,
+++,mar,2006,14.45,
+++,moz,1996,13.65,
+++,moz,2002,13.03,
+++,moz,2008,13.74,
+++,nam,2003,8.11,
+++,nam,2009,8.88,
+++,npl,1984,16.68,
+++,npl,1995,15.58,
+++,npl,2003,13.4,
+++,npl,2010,16.21,
->,aut->nld,2000->2004,17.44,
+++,nld,2005,17.37,
+++,nld,2006,17.08,
+++,nld,2007,17.16,
+++,nld,2008,17.36,
+++,nld,2009,17.68,
+++,nld,2010,17.77,
+++,nld,2011,17.65,
+++,nld,2012,17.62,
->,nic,1993,11.44->12.6,10.14
->,nic,1998,12.09->13.76,13.81
->,nic,2001,12.61->10.7,15.15
->,nic,2005,12.26->14.66,19.58
+++,nic,2009,13.91,
+++,nic,2014,13.56,
+++,ner,2007,14.79,
+++,ner,2011,16.21,
+++,ner,2014,16,
->,nga,1986->1985,15.52,
+++,nga,1992,14.37,
+++,nga,2003,15.4,
+++,nga,2009,14.36,
+++,nor,2004,16.44,
+++,nor,2005,16.84,
+++,nor,2006,18.1,
+++,nor,2007,17.64,
+++,nor,2008,17.7,
+++,nor,2009,17.93,
+++,nor,2010,18.05,
+++,nor,2011,18.27,
+++,nor,2012,18.12,
->,pak,1993->1990,16.29,
+++,pak,1996,16.54,
+++,pak,1998,15.8,
+++,pak,2001,16.31,
+++,pak,2004,15.82,
+++,pak,2007,15.88,
+++,pak,2010,16.41,
+++,pak,2011,16.14,
+++,pak,2013,16.36,
+++,pan,1989,11.61,
->,pan,1997,13.87->11.14,19.68
+++,pan,1998,11.46,
+++,pan,1999,11.55,
+++,pan,2001,11.45,
+++,pan,2003,11.3,
+++,pan,2005,11.86,
+++,pan,2007,12.29,
+++,pan,2008,12.34,
+++,pan,2009,12.23,
->,lso->pan,2003->2010,12.52,
+++,pan,2011,12.57,
+++,pan,2012,12.6,
+++,pan,2013,12.63,
+++,pan,2014,12.99,
+++,png,2009,14.54,
+++,pry,1997,12.12,
+++,pry,2001,11.81,
+++,pry,2003,11.23,
+++,pry,2004,11.98,
+++,pry,2006,12.01,
+++,pry,2008,12.39,
+++,pry,2009,13.2,
+++,pry,2010,12.69,
+++,pry,2011,12.51,
+++,pry,2012,13.82,
+++,pry,2013,13.18,
+++,pry,2014,12.43,
+++,per,1985,13.71,
---,per,1986,13.89,
---,per,1990,14.08,
+++,per,1997,12.21,
+++,per,1998,11.34,
+++,per,1999,11.33,
+++,per,2000,12.99,
+++,per,2001,12.59,
---,per,1996,14.07,
+++,per,2003,11.8,
+++,per,2004,12.68,
+++,per,2007,12.87,
+++,per,2008,13.62,
+++,per,2009,13.62,
+++,per,2010,14.15,
+++,per,2011,14.48,
+++,per,2012,14.59,
+++,per,2013,14.58,
+++,per,2014,14.69,
+++,phl,2009,13.82,
+++,phl,2012,13.8,
+++,pol,1998,16.53,
+++,pol,2000,16.49,
+++,pol,2001,16.52,
+++,pol,2003,16.09,
->,egy->pol,2005->2004,16.05,
+++,pol,2006,16.63,
+++,pol,2007,16.34,
+++,pol,2008,16.3,
+++,pol,2009,16.25,
+++,pol,2010,16.94,
+++,pol,2011,16.59,
+++,pol,2012,16.59,
+++,pol,2013,16.58,
+++,pol,2014,16.79,
+++,prt,2004,15.1,
+++,prt,2005,14.98,
+++,prt,2006,15.09,
+++,prt,2007,15.66,
->,jor->prt,1987->2008,15.77,
+++,prt,2009,16.27,
+++,prt,2010,15.93,
+++,prt,2011,15.82,
+++,prt,2012,16.16,
---,prt,1997,15.45,
+++,rou,1999,17.43,
+++,rou,2001,17.52,
+++,rou,2003,17.32,
+++,rou,2004,17.34,
+++,rou,2006,17.23,
+++,rou,2008,16.7,
+++,rou,2009,16.99,
+++,rou,2010,17.21,
+++,rou,2012,17.62,
+++,rou,2013,17.94,
+++,rus,1997,15.56,
+++,rus,1998,15.68,
+++,rus,2000,15.89,
+++,rus,2001,15.23,
+++,rus,2003,14.78,
+++,rus,2004,14.78,
+++,rus,2006,14.6,
+++,rus,2007,14.21,
+++,rus,2008,14.36,
+++,rus,2009,14.76,
+++,rus,2010,14.68,
+++,rus,2011,14.6,
+++,rus,2012,14.46,
+++,rwa,1984,16.66,
---,rwa,1985,16.65,
+++,rwa,2005,11.68,
+++,rwa,2010,11.58,
+++,rwa,2013,11.78,
+++,wsm,2008,13.85,
+++,stp,2000,16.64,
+++,stp,2010,16.83,
+++,sen,1994,14.39,
---,sen,1995,14.38,
+++,sen,2011,14.96,
+++,srb,2002,16.77,
+++,srb,2003,16.57,
+++,srb,2004,16.41,
+++,srb,2005,16.73,
+++,srb,2006,17.34,
+++,srb,2007,17.26,
+++,srb,2008,17.39,
+++,srb,2009,17.45,
+++,srb,2010,17.36,
+++,srb,2013,17.53,
+++,syc,1999,14.46,
+++,syc,2006,14.3,
+++,syc,2013,13.33,
---,sle,1990,9.77,
->,egy->sle,2000->2011,15.83,
---,sgp,1998,14.55,
+++,svk,2004,17.14,
+++,svk,2005,17.55,
+++,svk,2006,17.24,
+++,svk,2007,18.54,
+++,svk,2008,18.19,
+++,svk,2009,17.6,
+++,svk,2010,18.24,
+++,svk,2011,18.44,
+++,svk,2012,18.69,
+++,svn,2003,17.13,
+++,svn,2005,18.19,
->,dnk->svn,1997->2006,18.2,
+++,svn,2007,18.23,
+++,svn,2008,18.31,
+++,svn,2009,18.17,
+++,svn,2010,18.23,
+++,svn,2011,18.22,
+++,svn,2012,18.16,
+++,slb,2005,13.3,
+++,zaf,1996,8.73,
---,zaf,1995,10.15,
+++,zaf,2006,7.51,
+++,zaf,2008,8.05,
+++,zaf,2011,7.97,
+++,ssd,2009,14.2,
+++,esp,2004,17.07,
+++,esp,2005,17.39,
+++,esp,2006,17.32,
+++,esp,2007,17.27,
+++,esp,2008,17.06,
+++,esp,2009,16.91,
+++,esp,2010,16.84,
+++,esp,2011,16.96,
+++,esp,2012,17.03,
---,esp,2000,16.43,
+++,lka,1990,16.02,
+++,lka,1995,15.24,
---,lka,1991,16.1,
---,lka,1996,15.43,
+++,lka,2006,14.24,
+++,lka,2009,15.19,
+++,lka,2012,14.54,
+++,sdn,2009,16.29,
+++,swz,1994,10.18,
+++,swz,2000,10.88,
+++,swz,2009,11.83,
+++,swe,2004,17.98,
+++,swe,2005,18.21,
+++,swe,2006,18,
+++,swe,2007,17.93,
+++,swe,2008,17.79,
+++,swe,2009,17.78,
+++,swe,2010,17.83,
+++,swe,2011,17.82,
+++,swe,2012,17.81,
+++,che,2007,16.37,
---,sur,1999,12.59,
---,swz,1995,9.96,
---,swz,2001,12.34,
---,swe,2000,17.57,
---,che,2000,16.29,
->,tza->che,1992->2008,16.55,
+++,che,2009,16.59,
+++,che,2010,16.8,
+++,che,2011,16.99,
+++,che,2012,16.86,
+++,tjk,2007,17.13,
+++,tjk,2009,17.08,
+++,tjk,2012,16.62,
+++,tjk,2013,16.76,
+++,tjk,2014,16.64,
+++,tza,1991,15.95,
+++,tza,2007,14.73,
+++,tza,2011,14.95,
+++,tha,1990,12.91,
+++,tha,1994,13.52,
+++,tha,1998,14.03,
+++,tha,2000,13.65,
+++,tha,2006,14.3,
+++,tha,2007,14.73,
+++,tha,2008,14.6,
+++,tha,2009,14.79,
+++,tha,2010,14.79,
+++,tha,2011,15.14,
+++,tha,2012,14.84,
+++,tha,2013,15.09,
+++,tls,2007,16.1,
->,tgo,2006,16.09->13.9,13.61
+++,tgo,2011,13.41,
+++,ton,2001,15.79,
+++,ton,2009,15.37,
+++,tun,2005,15.64,
+++,tun,2010,16.14,
+++,tur,2003,14.58,
+++,tur,2004,15.15,
+++,tur,2006,15.66,
+++,tur,2007,15.85,
+++,tur,2008,15.86,
+++,tur,2009,15.65,
+++,tur,2010,15.59,
+++,tur,2011,15.19,
+++,tur,2012,15.08,
+++,tur,2013,15.15,
+++,tuv,2010,14.29,
+++,uga,2009,13.51,
+++,uga,2012,14.32,
+++,ukr,1993,17.34,
+++,ukr,1995,15.41,
+++,ukr,2003,17.18,
+++,ukr,2004,17.3,
+++,ukr,2006,17.03,
+++,ukr,2007,17.6,
+++,ukr,2008,17.59,
+++,ukr,2009,17.81,
+++,ukr,2010,17.93,
->,kor->ukr,1998->2011,17.95,
+++,ukr,2012,17.89,
+++,ukr,2013,17.93,
+++,ukr,2014,17.98,
+++,gbr,2004,16.27,
+++,gbr,2005,16.8,
+++,gbr,2006,16.52,
+++,gbr,2007,16.19,
+++,gbr,2008,16.44,
+++,gbr,2009,16.64,
+++,gbr,2010,16.49,
+++,gbr,2011,16.86,
+++,gbr,2012,17.04,
+++,usa,1986,16.46,
+++,usa,1991,16.34,
+++,usa,1994,15.73,
+++,usa,1997,15.5,
---,gbr,1999,15.96,
+++,usa,2004,15.68,
+++,usa,2007,15.56,
+++,usa,2010,15.7,
+++,usa,2013,15.44,
+++,ury,1981,14.59,
+++,ury,1989,14.86,
+++,ury,1995,14.97,
->,dza->ury,1988->1997,14.82,
+++,ury,2002,13.64,
---,ven,1993,14.97,
->,ven->ury,1996->2003,13.6,
+++,ury,2004,13.54,
+++,ury,2007,13.2,
+++,ury,2008,13.56,
+++,ury,2009,13.58,
+++,ury,2010,13.74,
+++,ury,2011,14.5,
+++,ury,2012,15.13,
+++,ury,2013,15.02,
+++,ury,2014,15.09,
+++,uzb,2000,15.85,
+++,vut,2010,15.7,
+++,ven,1992,15.03,
+++,ven,1995,13.77,
+++,ven,1999,13.75,
+++,ven,2001,13.68,
+++,ven,2002,13.47,
+++,ven,2004,14.07,
+++,vnm,1992,15.26,
---,vnm,1993,15.44,
+++,vnm,2008,15.05,
+++,vnm,2010,14.01,
+++,vnm,2012,15.27,
+++,vnm,2014,15.59,
+++,pse,2004,16.27,
+++,pse,2005,16.1,
+++,pse,2006,16.12,
+++,pse,2007,16.08,
+++,pse,2009,15.88,
---,yem,1992,15.37,
---,yem,1998,16.7,
---,yem,2005,15.27,
+++,zmb,2002,14.22,
---,zmb,2003,14.37,
->,zmb,2004,12.81->11.23,12.33
+++,zmb,2006,11.05,
+++,zmb,2010,10.49,
->,zwe,1995->2011,12.19->14.01,14.93
