@@,geo,time,mean_years_in_school_women_25_to_34_years,changes(%)
->,pak,1974,0.6->0.94,56.67
->,per,1974,4.5->5.13,14.00
->,png,1974,1.2->1.97,64.17
+++,prk,1974,5.11,
->,prt,1974,4.3->5.02,16.74
->,pse,1974,3.8->4.82,26.84
->,qat,1974,3.9->4.49,15.13
->,rus,1974,7.8->8.78,12.56
->,rwa,1974,1.1->1.51,37.27
->,sau,1974,1.7->3.14,84.71
->,sdn,1974,1->1.55,55.00
->,sen,1974,0.7->0.83,18.57
->,sgp,1974,4.8->5.82,21.25
->,sle,1974,0.5->0.59,18.00
->,som,1974,0.2->0.54,170.00
+++,ssd,1974,0.31,
->,svk,1974,6.9->7.82,13.33
->,swz,1974,2.8->3.66,30.71
->,syc,1974,5.5->4.87,11.45
->,syr,1974,1.9->2.25,18.42
->,tcd,1974,0.2->0.42,110.00
->,tgo,1974,0.8->1.19,48.75
->,tls,1974,0.6->2.19,265.00
->,ton,1974,7.5->6.56,12.53
->,tun,1974,1.4->1.81,29.29
->,tur,1974,2.3->3.27,42.17
->,twn,1974,5.4->7,29.63
->,tza,1974,1.9->2.52,32.63
->,uga,1974,1.6->1.98,23.75
->,ukr,1974,9.7->7.93,18.25
->,ury,1974,7.3->6.55,10.27
+++,vct,1974,4.8,
->,vnm,1974,5->4.03,19.40
->,vut,1974,3->3.42,14.00
->,yem,1974,0.1->0.3,200.00
->,zaf,1974,4.5->5.65,25.56
->,zwe,1974,3.2->4.09,27.81
->,afg,1975,0.1->0.25,150.00
->,ago,1975,1.3->1.66,27.69
->,alb,1975,6.8->6.01,11.62
+++,and,1975,8.93,
->,arm,1975,8.3->7.15,13.86
->,atg,1975,9.1->8.1,10.99
->,aus,1975,10.2->9.12,10.59
->,bdi,1975,0.8->1.18,47.50
->,ben,1975,0.6->0.78,30.00
->,bfa,1975,0.3->0.43,43.33
->,bgd,1975,1.1->1.35,22.73
->,bhs,1975,8.1->7.15,11.73
->,bih,1975,3.9->4.96,27.18
->,blr,1975,9.4->8.28,11.91
->,blz,1975,5.4->4.05,25.00
->,bol,1975,3.5->3.91,11.71
+++,brb,1975,4.93,
+++,brn,1975,8.16,
+++,btn,1975,0.94,
->,caf,1975,0.7->1.32,88.57
->,che,1975,9->8.04,10.67
->,chn,1975,3.2->4.09,27.81
->,civ,1975,0.8->1.12,40.00
->,cmr,1975,1.8->2.12,17.78
->,cod,1975,1.8->2.14,18.89
->,cog,1975,2.5->3.06,22.40
->,com,1975,0.8->1.82,127.50
->,cpv,1975,1.4->2.04,45.71
->,cri,1975,5.9->5.31,10.00
->,cub,1975,7.4->6.64,10.27
->,cze,1975,10.4->8.73,16.06
->,dji,1975,0.6->1.17,95.00
+++,dma,1975,6.01,
->,dza,1975,1.9->2.73,43.68
->,egy,1975,2.4->2.94,22.50
->,eri,1975,0.5->1.14,128.00
->,esp,1975,4.6->6.59,43.26
->,est,1975,9.1->8.1,10.99
->,eth,1975,0.3->1.09,263.33
->,fji,1975,6.7->6,10.45
+++,fsm,1975,6.22,
->,gab,1975,3.1->4.97,60.32
->,gbr,1975,10->8.65,13.50
->,geo,1975,10->8.33,16.70
->,gin,1975,0.4->0.55,37.50
->,gmb,1975,0.7->0.99,41.43
->,gnb,1975,0.3->0.61,103.33
->,gnq,1975,2.3->2.57,11.74
+++,grd,1975,4.93,
->,gtm,1975,1.8->2.34,30.00
->,hrv,1975,5.8->6.48,11.72
->,hti,1975,1.2->2.05,70.83
->,idn,1975,2.7->3.37,24.81
->,ind,1975,1.4->1.56,11.43
->,irq,1975,3.2->1.94,39.38
+++,isl,1975,8.51,
->,jam,1975,7.3->6.21,14.93
->,jor,1975,3.9->4.8,23.08
->,ken,1975,2.4->2.78,15.83
->,khm,1975,1.6->1.89,18.12
->,kwt,1975,3.9->4.9,25.64
->,lao,1975,1.2->1.97,64.17
+++,lby,1975,2.07,
->,lca,1975,6.6->5.66,14.24
->,lva,1975,10.1->8.37,17.13
->,mar,1975,0.9->1.38,53.33
->,mdv,1975,3.6->2.91,19.17
+++,mlt,1975,6.45,
->,mmr,1975,2.5->2.79,11.60
->,mng,1975,6.9->5.93,14.06
->,moz,1975,0.7->0.92,31.43
->,mrt,1975,0.5->1.41,182.00
->,mus,1975,3.4->3.82,12.35
->,nam,1975,3.6->3.98,10.56
->,ner,1975,0.2->0.38,90.00
->,nga,1975,1.6->2.21,38.12
->,npl,1975,0.3->0.76,153.33
->,omn,1975,1.8->2.98,65.56
->,pak,1975,0.7->0.97,38.57
->,per,1975,4.7->5.26,11.91
->,png,1975,1.3->2.03,56.15
+++,prk,1975,5.24,
->,prt,1975,4.5->5.15,14.44
->,pse,1975,4.1->4.94,20.49
->,rus,1975,8.1->8.95,10.49
->,rwa,1975,1.2->1.56,30.00
->,sau,1975,1.8->3.24,80.00
->,sdn,1975,1->1.61,61.00
->,sen,1975,0.7->0.86,22.86
->,sgp,1975,5->5.98,19.60
->,som,1975,0.3->0.56,86.67
+++,ssd,1975,0.32,
->,svk,1975,7.2->7.98,10.83
->,swz,1975,2.9->3.77,30.00
->,syc,1975,5.7->5.01,12.11
->,syr,1975,2->2.34,17.00
->,tcd,1975,0.2->0.44,120.00
->,tgo,1975,0.8->1.23,53.75
->,tls,1975,0.6->2.26,276.67
->,ton,1975,7.7->6.7,12.99
->,tun,1975,1.5->1.9,26.67
->,tur,1975,2.4->3.36,40.00
->,twn,1975,5.7->7.18,25.96
->,tza,1975,2->2.6,30.00
->,uga,1975,1.7->2.04,20.00
->,ukr,1975,9.8->8.1,17.35
+++,vct,1975,4.93,
->,vnm,1975,5.1->4.14,18.82
->,yem,1975,0.2->0.31,55.00
->,zaf,1975,4.7->5.77,22.77
->,zwe,1975,3.4->4.2,23.53
->,afg,1976,0.1->0.26,160.00
->,ago,1976,1.3->1.71,31.54
->,alb,1976,6.9->6.16,10.72
+++,and,1976,9.09,
->,arm,1976,8.5->7.3,14.12
->,atg,1976,9.3->8.26,11.18
->,bdi,1976,0.9->1.22,35.56
->,ben,1976,0.7->0.8,14.29
->,bfa,1976,0.3->0.45,50.00
->,bgd,1976,1.2->1.4,16.67
->,bhs,1976,8.3->7.3,12.05
->,bih,1976,4.1->5.09,24.15
->,blr,1976,9.6->8.44,12.08
->,blz,1976,5.6->4.16,25.71
+++,brb,1976,5.05,
+++,brn,1976,8.32,
+++,btn,1976,0.97,
->,caf,1976,0.8->1.36,70.00
->,che,1976,9.3->8.21,11.72
->,chn,1976,3.4->4.2,23.53
->,civ,1976,0.8->1.16,45.00
->,cmr,1976,1.9->2.2,15.79
->,cod,1976,1.9->2.21,16.32
->,cog,1976,2.6->3.16,21.54
->,com,1976,0.8->1.88,135.00
->,cpv,1976,1.5->2.1,40.00
->,cub,1976,7.6->6.79,10.66
->,cze,1976,10.6->8.9,16.04
->,dji,1976,0.6->1.21,101.67
+++,dma,1976,6.16,
->,dza,1976,2->2.81,40.50
->,egy,1976,2.5->3.04,21.60
->,eri,1976,0.5->1.18,136.00
->,esp,1976,4.9->6.75,37.76
->,est,1976,9.2->8.27,10.11
->,eth,1976,0.3->1.13,276.67
->,fji,1976,6.9->6.14,11.01
+++,fsm,1976,6.36,
->,gab,1976,3.2->5.09,59.06
->,gbr,1976,10.2->8.82,13.53
->,geo,1976,10.1->8.5,15.84
->,gin,1976,0.4->0.57,42.50
->,gmb,1976,0.8->1.03,28.75
->,gnb,1976,0.4->0.63,57.50
->,gnq,1976,2.4->2.65,10.42
+++,grd,1976,5.05,
->,gtm,1976,1.9->2.41,26.84
->,hti,1976,1.2->2.12,76.67
->,idn,1976,2.8->3.48,24.29
->,irq,1976,3.2->2.04,36.25
+++,isl,1976,8.68,
->,jam,1976,7.5->6.35,15.33
->,jor,1976,4.2->4.97,18.33
->,ken,1976,2.5->2.89,15.60
->,khm,1976,1.6->1.95,21.87
->,kwt,1976,4->5.04,26.00
->,lao,1976,1.2->2.03,69.17
+++,lby,1976,2.14,
->,lca,1976,6.7->5.8,13.43
->,lva,1976,10.2->8.53,16.37
->,mar,1976,0.9->1.43,58.89
->,mdv,1976,3.6->3,16.67
+++,mlt,1976,6.57,
->,mmr,1976,2.6->2.87,10.38
->,mng,1976,7->6.07,13.29
->,moz,1976,0.8->0.95,18.75
->,mrt,1976,0.6->1.46,143.33
->,ner,1976,0.2->0.4,100.00
->,nga,1976,1.7->2.28,34.12
->,npl,1976,0.4->0.79,97.50
->,omn,1976,1.9->3.07,61.58
->,pak,1976,0.7->1.01,44.29
->,per,1976,4.9->5.4,10.20
->,png,1976,1.3->2.09,60.77
+++,prk,1976,5.37,
->,prt,1976,4.6->5.28,14.78
->,pse,1976,4.3->5.07,17.91
->,rwa,1976,1.2->1.62,35.00
->,sau,1976,1.9->3.34,75.79
->,sdn,1976,1.1->1.67,51.82
->,sen,1976,0.8->0.89,11.25
->,sgp,1976,5.1->6.13,20.20
->,som,1976,0.3->0.57,90.00
+++,ssd,1976,0.34,
->,stp,1976,1.9->2.1,10.53
->,svk,1976,7.4->8.15,10.14
->,swz,1976,3.1->3.9,25.81
->,syc,1976,5.8->5.16,11.03
->,syr,1976,2.1->2.42,15.24
->,tcd,1976,0.2->0.45,125.00
->,tgo,1976,0.9->1.27,41.11
->,tls,1976,0.6->2.33,288.33
->,ton,1976,7.9->6.85,13.29
->,tun,1976,1.6->1.99,24.37
->,tur,1976,2.6->3.45,32.69
->,twn,1976,6->7.36,22.67
->,tza,1976,2.1->2.68,27.62
->,uga,1976,1.8->2.11,17.22
->,ukr,1976,10->8.26,17.40
->,ury,1976,7.6->6.83,10.13
+++,vct,1976,5.05,
->,vnm,1976,5.3->4.25,19.81
->,yem,1976,0.2->0.33,65.00
->,zaf,1976,4.9->5.89,20.20
->,zwe,1976,3.6->4.31,19.72
->,afg,1977,0.1->0.27,170.00
->,ago,1977,1.4->1.76,25.71
->,alb,1977,7.1->6.3,11.27
+++,and,1977,9.26,
->,arm,1977,8.6->7.46,13.26
->,atg,1977,9.5->8.42,11.37
->,bdi,1977,0.9->1.27,41.11
->,ben,1977,0.7->0.83,18.57
->,bfa,1977,0.3->0.46,53.33
->,bgd,1977,1.3->1.45,11.54
->,bhs,1977,8.4->7.46,11.19
->,bih,1977,4.2->5.21,24.05
->,blr,1977,9.8->8.6,12.24
->,blz,1977,5.8->4.27,26.38
+++,brb,1977,5.18,
+++,brn,1977,8.49,
+++,btn,1977,1,
->,caf,1977,0.8->1.41,76.25
->,che,1977,9.5->8.37,11.89
->,chn,1977,3.5->4.32,23.43
->,civ,1977,0.8->1.2,50.00
->,cmr,1977,2->2.28,14.00
->,cod,1977,2->2.28,14.00
->,cog,1977,2.8->3.26,16.43
->,com,1977,0.9->1.94,115.56
->,cpv,1977,1.6->2.17,35.62
->,cri,1977,6.2->5.57,10.16
->,cub,1977,7.8->6.94,11.03
->,cze,1977,10.8->9.07,16.02
->,dji,1977,0.7->1.25,78.57
+++,dma,1977,6.3,
->,dza,1977,2.1->2.9,38.10
->,egy,1977,2.7->3.15,16.67
->,eri,1977,0.6->1.22,103.33
->,esp,1977,5.1->6.91,35.49
->,est,1977,9.4->8.44,10.21
->,eth,1977,0.3->1.17,290.00
->,fji,1977,7.1->6.28,11.55
+++,fsm,1977,6.51,
->,gab,1977,3.4->5.23,53.82
->,gbr,1977,10.3->8.98,12.82
->,geo,1977,10.3->8.67,15.83
->,gin,1977,0.4->0.59,47.50
->,gmb,1977,0.8->1.06,32.50
->,gnb,1977,0.4->0.65,62.50
+++,grd,1977,5.18,
->,gtm,1977,2->2.48,24.00
->,hti,1977,1.3->2.19,68.46
->,idn,1977,3->3.58,19.33
->,irq,1977,3.3->2.13,35.45
+++,isl,1977,8.85,
->,jam,1977,7.7->6.5,15.58
->,jor,1977,4.4->5.15,17.05
->,ken,1977,2.7->3,11.11
->,khm,1977,1.7->2.01,18.24
->,kwt,1977,4.2->5.19,23.57
->,lao,1977,1.3->2.1,61.54
+++,lby,1977,2.2,
->,lca,1977,6.9->5.94,13.91
->,lva,1977,10.4->8.7,16.35
->,mar,1977,1->1.48,48.00
->,mdv,1977,3.7->3.08,16.76
->,mhl,1977,5.5->4.92,10.55
+++,mlt,1977,6.69,
->,mng,1977,7.2->6.21,13.75
->,moz,1977,0.8->0.98,22.50
->,mrt,1977,0.6->1.5,150.00
->,ner,1977,0.2->0.41,105.00
->,nga,1977,1.8->2.35,30.56
->,npl,1977,0.4->0.82,105.00
->,omn,1977,2->3.16,58.00
->,pak,1977,0.8->1.05,31.25
->,png,1977,1.4->2.16,54.29
+++,prk,1977,5.5,
->,prt,1977,4.8->5.41,12.71
->,pse,1977,4.5->5.21,15.78
->,rwa,1977,1.3->1.68,29.23
->,sau,1977,2->3.45,72.50
->,sdn,1977,1.2->1.73,44.17
->,sen,1977,0.8->0.92,15.00
->,sgp,1977,5.3->6.29,18.68
->,sle,1977,0.6->0.66,10.00
->,som,1977,0.3->0.59,96.67
+++,ssd,1977,0.35,
->,swz,1977,3.2->4.02,25.62
->,syc,1977,6->5.3,11.67
->,syr,1977,2.2->2.52,14.55
->,tcd,1977,0.2->0.47,135.00
->,tgo,1977,0.9->1.31,45.56
->,tls,1977,0.7->2.41,244.29
->,ton,1977,8.1->6.99,13.70
->,tun,1977,1.7->2.09,22.94
->,tur,1977,2.7->3.54,31.11
->,twn,1977,6.3->7.54,19.68
->,tza,1977,2.2->2.76,25.45
->,uga,1977,1.8->2.17,20.56
->,ukr,1977,10.2->8.43,17.35
->,ury,1977,7.8->6.97,10.64
+++,vct,1977,5.18,
->,vnm,1977,5.4->4.36,19.26
->,yem,1977,0.2->0.34,70.00
->,zaf,1977,5.1->6.01,17.84
->,zmb,1977,3.3->2.93,11.21
->,zwe,1977,3.7->4.43,19.73
->,afg,1978,0.1->0.27,170.00
->,ago,1978,1.5->1.82,21.33
->,alb,1978,7.2->6.44,10.56
+++,and,1978,9.43,
->,arm,1978,8.8->7.61,13.52
->,atg,1978,9.7->8.59,11.44
->,bdi,1978,1->1.31,31.00
->,ben,1978,0.7->0.86,22.86
->,bfa,1978,0.3->0.48,60.00
->,bgd,1978,1.3->1.5,15.38
->,bhs,1978,8.5->7.62,10.35
->,bih,1978,4.4->5.34,21.36
->,blr,1978,10->8.77,12.30
->,blz,1978,5.9->4.39,25.59
+++,brb,1978,5.31,
+++,brn,1978,8.65,
+++,btn,1978,1.03,
->,caf,1978,0.9->1.45,61.11
->,che,1978,9.8->8.54,12.86
->,chn,1978,3.7->4.43,19.73
->,civ,1978,0.9->1.24,37.78
->,cmr,1978,2.1->2.37,12.86
->,cod,1978,2.1->2.34,11.43
->,cog,1978,3->3.36,12.00
->,com,1978,0.9->2,122.22
->,cpv,1978,1.6->2.24,40.00
->,cri,1978,6.4->5.7,10.94
->,cub,1978,8->7.1,11.25
->,cze,1978,11->9.24,16.00
->,dji,1978,0.7->1.29,84.29
+++,dma,1978,6.45,
->,dza,1978,2.3->2.98,29.57
->,egy,1978,2.8->3.25,16.07
->,eri,1978,0.6->1.26,110.00
->,esp,1978,5.3->7.08,33.58
->,est,1978,9.6->8.61,10.31
->,eth,1978,0.3->1.21,303.33
->,fji,1978,7.2->6.41,10.97
+++,fsm,1978,6.65,
->,gab,1978,3.5->5.36,53.14
->,gbr,1978,10.5->9.15,12.86
->,geo,1978,10.4->8.84,15.00
->,gin,1978,0.5->0.61,22.00
->,gmb,1978,0.9->1.1,22.22
->,gnb,1978,0.4->0.67,67.50
+++,grd,1978,5.31,
->,gtm,1978,2.1->2.55,21.43
->,hti,1978,1.4->2.27,62.14
->,idn,1978,3.1->3.7,19.35
->,irq,1978,3.4->2.23,34.41
+++,isl,1978,9.02,
->,jam,1978,7.9->6.65,15.82
->,jor,1978,4.7->5.34,13.62
->,ken,1978,2.8->3.13,11.79
->,khm,1978,1.8->2.07,15.00
->,kwt,1978,4.4->5.35,21.59
->,lao,1978,1.4->2.16,54.29
+++,lby,1978,2.27,
->,lca,1978,7.1->6.08,14.37
->,lva,1978,10.5->8.86,15.62
->,mar,1978,1.1->1.53,39.09
->,mdv,1978,3.8->3.16,16.84
->,mhl,1978,5.7->5.04,11.58
+++,mlt,1978,6.82,
->,mng,1978,7.4->6.36,14.05
->,moz,1978,0.9->1.02,13.33
->,mrt,1978,0.6->1.55,158.33
->,ner,1978,0.2->0.42,110.00
->,nga,1978,1.9->2.43,27.89
->,npl,1978,0.4->0.86,115.00
->,omn,1978,2.2->3.26,48.18
->,pak,1978,0.8->1.09,36.25
->,png,1978,1.5->2.22,48.00
+++,prk,1978,5.64,
->,prt,1978,5->5.55,11.00
->,pse,1978,4.8->5.34,11.25
->,rwa,1978,1.4->1.74,24.29
->,sau,1978,2.1->3.56,69.52
->,sdn,1978,1.2->1.79,49.17
->,sen,1978,0.8->0.95,18.75
->,sgp,1978,5.5->6.46,17.45
->,som,1978,0.3->0.61,103.33
+++,ssd,1978,0.36,
->,swz,1978,3.4->4.15,22.06
->,syc,1978,6.2->5.45,12.10
->,tcd,1978,0.2->0.48,140.00
->,tgo,1978,1->1.35,35.00
->,tls,1978,0.7->2.48,254.29
->,ton,1978,8.3->7.14,13.98
->,tun,1978,1.8->2.19,21.67
->,tur,1978,2.9->3.64,25.52
->,twn,1978,6.6->7.73,17.12
->,tza,1978,2.4->2.85,18.75
->,uga,1978,1.9->2.24,17.89
->,ukr,1978,10.4->8.59,17.40
+++,vct,1978,5.31,
->,vnm,1978,5.5->4.47,18.73
->,yem,1978,0.2->0.36,80.00
->,zaf,1978,5.3->6.13,15.66
->,zmb,1978,3.4->3.03,10.88
->,zwe,1978,3.9->4.55,16.67
->,afg,1979,0.1->0.28,180.00
->,ago,1979,1.5->1.88,25.33
->,alb,1979,7.4->6.59,10.95
+++,and,1979,9.6,
->,arm,1979,8.9->7.77,12.70
->,atg,1979,9.9->8.75,11.62
->,bdi,1979,1->1.35,35.00
->,bfa,1979,0.4->0.5,25.00
->,bgd,1979,1.4->1.55,10.71
->,bhs,1979,8.7->7.78,10.57
->,bih,1979,4.5->5.47,21.56
->,blr,1979,10.1->8.93,11.58
->,blz,1979,6.1->4.5,26.23
+++,brb,1979,5.44,
+++,brn,1979,8.82,
+++,btn,1979,1.07,
->,caf,1979,0.9->1.5,66.67
->,che,1979,10->8.71,12.90
->,chn,1979,3.9->4.55,16.67
->,civ,1979,1->1.28,28.00
->,cog,1979,3.1->3.46,11.61
->,com,1979,1->2.07,107.00
->,cpv,1979,1.7->2.31,35.88
->,cri,1979,6.5->5.83,10.31
->,cub,1979,8.1->7.25,10.49
->,cze,1979,11.2->9.41,15.98
->,dji,1979,0.8->1.34,67.50
+++,dma,1979,6.6,
->,dza,1979,2.4->3.07,27.92
->,egy,1979,3->3.37,12.33
->,eri,1979,0.7->1.3,85.71
->,esp,1979,5.6->7.24,29.29
->,eth,1979,0.3->1.25,316.67
->,fji,1979,7.4->6.56,11.35
+++,fsm,1979,6.8,
->,gab,1979,3.7->5.49,48.38
->,gbr,1979,10.7->9.32,12.90
->,geo,1979,10.6->9.01,15.00
->,gha,1979,3.5->3.09,11.71
->,gin,1979,0.5->0.63,26.00
->,gmb,1979,0.9->1.13,25.56
->,gnb,1979,0.4->0.7,75.00
+++,grd,1979,5.44,
->,gtm,1979,2.2->2.63,19.55
->,hti,1979,1.5->2.34,56.00
->,idn,1979,3.3->3.81,15.45
->,irq,1979,3.5->2.34,33.14
+++,isl,1979,9.19,
->,jam,1979,8->6.8,15.00
->,jor,1979,4.9->5.53,12.86
->,khm,1979,1.9->2.13,12.11
->,kir,1979,5.7->5.13,10.00
->,kwt,1979,4.6->5.51,19.78
->,lao,1979,1.4->2.23,59.29
+++,lby,1979,2.34,
->,lca,1979,7.3->6.22,14.79
->,lva,1979,10.7->9.03,15.61
->,mar,1979,1.2->1.58,31.67
->,mdv,1979,3.8->3.25,14.47
->,mhl,1979,6->5.17,13.83
+++,mlt,1979,6.94,
->,mng,1979,7.6->6.5,14.47
->,moz,1979,0.9->1.05,16.67
->,mrt,1979,0.6->1.6,166.67
->,ner,1979,0.2->0.44,120.00
->,nga,1979,2->2.51,25.50
->,npl,1979,0.4->0.9,125.00
->,omn,1979,2.3->3.35,45.65
->,pak,1979,0.9->1.14,26.67
->,png,1979,1.6->2.29,43.12
+++,prk,1979,5.78,
->,rwa,1979,1.4->1.8,28.57
->,sau,1979,2.3->3.68,60.00
->,sdn,1979,1.3->1.86,43.08
->,sgp,1979,5.7->6.62,16.14
->,som,1979,0.3->0.63,110.00
+++,ssd,1979,0.37,
->,swz,1979,3.6->4.28,18.89
->,syc,1979,6.4->5.61,12.34
->,tcd,1979,0.3->0.5,66.67
->,tgo,1979,1->1.39,39.00
->,tls,1979,0.7->2.56,265.71
->,ton,1979,8.5->7.28,14.35
->,tun,1979,2->2.3,15.00
->,tur,1979,3->3.73,24.33
->,twn,1979,6.9->7.91,14.64
->,tza,1979,2.5->2.93,17.20
->,uga,1979,2->2.31,15.50
->,ukr,1979,10.5->8.76,16.57
->,ury,1979,8.1->7.25,10.49
+++,vct,1979,5.44,
->,vnm,1979,5.7->4.59,19.47
->,yem,1979,0.2->0.38,90.00
->,zaf,1979,5.5->6.26,13.82
->,zmb,1979,3.5->3.13,10.57
->,zwe,1979,4.1->4.67,13.90
->,afg,1980,0.1->0.29,190.00
->,ago,1980,1.6->1.94,21.25
->,alb,1980,7.5->6.74,10.13
+++,and,1980,9.77,
->,arm,1980,9.1->7.93,12.86
->,atg,1980,10.1->8.92,11.68
->,bdi,1980,1.1->1.4,27.27
->,ben,1980,0.8->0.91,13.75
->,bfa,1980,0.4->0.52,30.00
->,bih,1980,4.7->5.61,19.36
->,blr,1980,10.3->9.1,11.65
->,blz,1980,6.3->4.62,26.67
+++,brb,1980,5.58,
+++,brn,1980,8.99,
+++,btn,1980,1.1,
->,caf,1980,1->1.54,54.00
->,che,1980,10.2->8.88,12.94
->,chn,1980,4.1->4.67,13.90
->,civ,1980,1->1.33,33.00
->,com,1980,1->2.14,114.00
->,cpv,1980,1.8->2.38,32.22
->,cri,1980,6.7->5.96,11.04
->,cub,1980,8.3->7.4,10.84
->,cyp,1980,9.9->8.9,10.10
->,cze,1980,11.3->9.58,15.22
->,dji,1980,0.8->1.38,72.50
+++,dma,1980,6.75,
->,dza,1980,2.6->3.17,21.92
->,egy,1980,3.1->3.48,12.26
->,eri,1980,0.7->1.34,91.43
->,esp,1980,5.8->7.41,27.76
->,eth,1980,0.4->1.3,225.00
->,fji,1980,7.6->6.7,11.84
+++,fsm,1980,6.95,
->,gab,1980,3.9->5.63,44.36
->,gbr,1980,10.8->9.49,12.13
->,geo,1980,10.7->9.18,14.21
->,gha,1980,3.6->3.19,11.39
->,gin,1980,0.5->0.65,30.00
->,gmb,1980,0.9->1.17,30.00
->,gnb,1980,0.5->0.72,44.00
+++,grd,1980,5.58,
