@@,geo,time,mean_years_in_school_women_percent_men_25_to_34_years,changes(%)
->,afg,1970,11.11->15.44118,38.98
->,alb,1970,101.7->87.37705,14.08
+++,and,1970,97.00599,
->,are,1970,80->90.9292,13.66
->,arm,1970,102.7->91.67862,10.73
->,bdi,1970,46.15->54.34783,17.76
->,bgd,1970,36.36->47.3029,30.10
->,bhr,1970,68.42->79.5122,16.21
->,bih,1970,67.35->81.22677,20.60
->,bol,1970,61.36->67.66467,10.27
+++,brb,1970,93.92625,
+++,brn,1970,85.08671,
+++,btn,1970,32.52033,
->,caf,1970,23.81->39.78873,67.11
->,chn,1970,57.14->66.48045,16.35
->,civ,1970,33.33->38.68313,16.06
->,cod,1970,35->48.54881,38.71
->,cog,1970,40->54.83193,37.08
->,com,1970,37.5->55,46.67
->,cpv,1970,57.89->66.66667,15.16
->,dji,1970,16->29.03226,81.45
+++,dma,1970,99.81273,
->,dza,1970,77.78->90,15.71
->,egy,1970,40.48->51.9833,28.42
->,eri,1970,30->43.49776,44.99
->,est,1970,114.1->97.85235,14.24
->,eth,1970,25->41.74312,66.97
+++,fsm,1970,81.17647,
->,gab,1970,65.79->88.77551,34.94
->,geo,1970,108.3->93.75,13.43
->,gnq,1970,47.37->52.35849,10.53
+++,grd,1970,93.92625,
->,guy,1970,72.73->97.01493,33.39
->,hrv,1970,78.69->91.5873,16.39
->,hti,1970,53.33->59.04437,10.72
->,idn,1970,52.78->65.83144,24.73
->,ind,1970,35.48->40.75235,14.86
->,irn,1970,56.25->50.60606,10.03
->,irq,1970,58.33->47.2561,18.98
+++,isl,1970,96.72544,
->,jor,1970,50.91->68.1431,33.85
->,kaz,1970,113.6->93.88298,17.36
->,ken,1970,42.5->54.41527,28.04
->,khm,1970,46.15->56.99301,23.50
->,lao,1970,47.37->62.13235,31.16
->,lbn,1970,79.07->88.34356,11.73
+++,lby,1970,50,
->,lca,1970,107.7->95.96929,10.89
->,ltu,1970,107.6->95.23242,11.49
->,lva,1970,113.6->93.21825,17.94
->,mar,1970,33.33->46.61355,39.85
->,mdv,1970,86.11->75.29762,12.56
->,mhl,1970,76.92->86.10526,11.94
->,mli,1970,42.86->35.48387,17.21
+++,mlt,1970,87.25637,
->,mmr,1970,73.08->83.04498,13.64
->,mrt,1970,33.33->50,50.02
->,mys,1970,62.75->69.9262,11.44
->,ner,1970,25->35.55556,42.22
->,nga,1970,42.86->50.81081,18.55
->,nic,1970,124.1->98.76923,20.41
->,npl,1970,13.33->23.04833,72.91
->,omn,1970,48.15->62.07729,28.92
->,pak,1970,26.32->32.14286,22.12
->,png,1970,43.48->51.78571,19.10
+++,prk,1970,71.69518,
->,pry,1970,78.57->94.2446,19.95
->,pse,1970,56.36->75.83187,34.55
->,qat,1970,88.57->107.75401,21.66
->,rwa,1970,50->57.45614,14.91
->,sau,1970,28.26->44.39103,57.08
->,sdn,1970,26.92->35.3562,31.34
->,sen,1970,50->41.95402,16.09
->,sle,1970,33.33->37.03704,11.12
->,som,1970,22.22->36.15385,62.71
+++,ssd,1970,25.4717,
->,swz,1970,78.57->87.26287,11.06
->,syc,1970,111.4->91.36842,17.98
->,syr,1970,40->48.3871,20.97
->,tcd,1970,20->22.83951,14.20
->,tgo,1970,31.58->37.27599,18.04
->,tls,1970,38.46->62.58065,62.72
->,ton,1970,101.5->89.40299,11.92
->,tun,1970,25.64->40.81081,59.17
->,tur,1970,51.43->61.68421,19.94
->,twn,1970,71.19->83.15789,16.81
->,tza,1970,47.06->65.29412,38.75
->,uga,1970,43.33->52.71084,21.65
+++,vct,1970,93.92625,
->,yem,1970,9.091->11.16071,22.77
->,zwe,1970,56.52->69.58175,23.11
->,afg,1971,11.11->15.82734,42.46
->,alb,1971,101.6->87.94212,13.44
+++,and,1971,97.40566,
->,are,1971,80.85->91.37931,13.02
->,arm,1971,104.1->92.11268,11.52
->,bdi,1971,42.86->55.02646,28.39
->,bfa,1971,33.33->37.7551,13.28
->,bgd,1971,39.13->47.77328,22.09
->,bhr,1971,70->80.28504,14.69
->,bih,1971,66.67->81.60291,22.40
+++,brb,1971,94.26752,
+++,brn,1971,85.55176,
+++,btn,1971,32.53968,
->,caf,1971,27.27->40.20619,47.44
->,chn,1971,59.09->66.9708,13.34
->,civ,1971,31.58->39.35743,24.63
->,cod,1971,35.71->48.96907,37.13
->,cog,1971,40.43->55.55556,37.41
->,com,1971,35.29->55.4007,56.99
->,cpv,1971,60->67.16418,11.94
->,dji,1971,19.23->29.51289,53.47
+++,dma,1971,100.18349,
->,dza,1971,78.95->90.29851,14.37
->,egy,1971,40.91->52.44898,28.21
->,eri,1971,27.27->43.66812,60.13
->,est,1971,113.7->98.15547,13.67
->,eth,1971,22.22->42.41071,90.87
+++,fsm,1971,81.67388,
->,gab,1971,65->89.22156,37.26
->,geo,1971,108.1->94.22604,12.83
->,gin,1971,25->28.07018,12.28
->,gnb,1971,27.27->32.51534,19.23
->,gnq,1971,47.5->52.88684,11.34
+++,grd,1971,94.26752,
->,guy,1971,71.93->97.28601,35.25
->,hrv,1971,80.65->92.05607,14.14
->,idn,1971,55.26->66.36971,20.10
->,ind,1971,34.38->40.85366,18.83
->,irq,1971,56->47.78761,14.66
+++,isl,1971,97.15347,
->,jor,1971,52.63->68.88519,30.89
->,kaz,1971,111.8->94.25587,15.69
->,ken,1971,42.86->55.11628,28.60
->,khm,1971,48.15->57.33788,19.08
->,lao,1971,50->62.36559,24.73
->,lbn,1971,80->88.8,11.00
->,lbr,1971,26.09->30.86957,18.32
+++,lby,1971,50.41322,
->,lca,1971,107.4->96.42857,10.22
->,ltu,1971,107.3->95.54513,10.96
->,lva,1971,113.4->93.57576,17.48
->,mar,1971,36.84->47.08171,27.80
->,mdv,1971,86.49->75.5814,12.61
->,mhl,1971,76.36->86.80412,13.68
->,mli,1971,42.86->35.78947,16.50
+++,mlt,1971,87.75811,
->,mmr,1971,74.07->83.78378,13.11
->,moz,1971,40->44.2623,10.66
->,mrt,1971,38.46->50.4065,31.06
->,mys,1971,62.26->70.75812,13.65
->,ner,1971,25->36.55914,46.24
->,nga,1971,43.33->51.18734,18.13
->,nic,1971,123.3->99.39759,19.39
->,npl,1971,12.5->23.63636,89.09
->,omn,1971,46.43->62.5,34.61
->,pak,1971,23.81->32.43243,36.21
->,png,1971,41.67->52.32558,25.57
+++,prk,1971,72.21374,
->,pry,1971,79.55->94.83568,19.22
->,pse,1971,56.14->76.32933,35.96
->,qat,1971,91.67->108.37696,18.23
->,rwa,1971,47.37->58.11966,22.69
->,sau,1971,29.17->44.81132,53.62
->,sdn,1971,29.63->35.91731,21.22
->,som,1971,20->36.56716,82.84
+++,ssd,1971,25.68807,
->,syc,1971,111.1->91.59836,17.55
->,syr,1971,41.67->49.02913,17.66
->,tcd,1971,20->22.89157,14.46
->,tgo,1971,30->37.76224,25.87
->,tls,1971,35.71->62.89308,76.12
->,ton,1971,100->89.7511,10.25
->,tun,1971,26.83->41.36126,54.16
->,tur,1971,51.35->62.13992,21.01
->,twn,1971,72.58->83.74194,15.38
->,tza,1971,48.57->66.09195,36.08
->,uga,1971,41.94->53.23529,26.93
+++,vct,1971,94.26752,
->,yem,1971,8.333->11.30435,35.66
->,zwe,1971,57.45->70.01862,21.88
->,afg,1972,10->15.38462,53.85
->,alb,1972,100->88.32808,11.67
+++,and,1972,97.79582,
->,are,1972,81.63->92.01681,12.72
->,bdi,1972,46.67->55.15464,18.18
->,bfa,1972,33.33->38.61386,15.85
->,bgd,1972,37.5->48.22134,28.59
->,bhr,1972,71.43->81.01852,13.42
->,bih,1972,69.23->82.14286,18.65
->,blz,1972,92.45->82.01754,11.28
+++,brb,1972,94.80249,
+++,brn,1972,86.00224,
+++,btn,1972,32.94574,
->,caf,1972,26.09->40.26846,54.34
->,chn,1972,58.7->67.44186,14.89
->,civ,1972,30->39.60784,32.03
->,cmr,1972,44.12->49.47917,12.15
->,cod,1972,36.36->49.37028,35.78
->,cog,1972,40.82->55.93561,37.03
->,com,1972,38.89->56.12245,44.31
->,cpv,1972,57.14->67.88321,18.80
->,dji,1972,18.52->29.69188,60.32
+++,dma,1972,100.71942,
->,dza,1972,80->90.21739,12.77
->,egy,1972,43.48->52.98805,21.87
->,eri,1972,33.33->43.82979,31.50
->,est,1972,113.3->98.57513,13.00
->,eth,1972,22.22->42.6087,91.76
+++,fsm,1972,82.2695,
->,gab,1972,64.29->89.64844,39.44
->,geo,1972,108->94.56522,12.44
->,gin,1972,25->28.40909,13.64
->,gnb,1972,27.27->32.7381,20.05
->,gnq,1972,47.62->53.0474,11.40
+++,grd,1972,94.80249,
->,guy,1972,72.88->97.75051,34.13
->,hrv,1972,81.25->92.36641,13.68
->,hti,1972,52.94->59.87055,13.09
->,idn,1972,55->66.95652,21.74
->,ind,1972,35.29->41.66667,18.07
->,irq,1972,55.77->48.7106,12.66
+++,isl,1972,97.56395,
->,jor,1972,54.24->69.9187,28.91
->,kaz,1972,111.4->94.73684,14.96
->,ken,1972,44.19->56.00907,26.75
->,khm,1972,50->57.66667,15.33
->,lao,1972,47.62->63.15789,32.63
->,lbn,1972,80.85->89.41176,10.59
+++,lby,1972,50.9434,
->,lca,1972,109.1->96.86924,11.21
->,ltu,1972,107.1->95.96309,10.40
->,lva,1972,113.1->93.92133,16.96
->,mar,1972,35->47.34848,35.28
->,mdv,1972,86.84->76.13636,12.33
->,mhl,1972,77.19->87.09677,12.83
+++,mlt,1972,88.22674,
->,mmr,1972,75->84.15842,12.21
->,moz,1972,37.5->44.38503,18.36
->,mrt,1972,38.46->50.79365,32.07
->,mys,1972,63.64->71.73145,12.71
->,ner,1972,25->36.84211,47.37
->,nga,1972,41.94->51.54639,22.91
->,nic,1972,122.6->100,18.43
->,npl,1972,17.65->23.75887,34.61
->,omn,1972,46.67->63.0485,35.09
->,pak,1972,27.27->32.70677,19.94
->,png,1972,44->52.55682,19.45
+++,prk,1972,72.71364,
->,pry,1972,82.22->95.18349,15.77
->,pse,1972,57.63->76.80672,33.28
->,qat,1972,92.11->108.95141,18.28
->,rwa,1972,50->58.75,17.50
->,sau,1972,30->45.45455,51.52
->,sdn,1972,28.57->36.4557,27.60
->,som,1972,20->36.49635,82.48
+++,ssd,1972,25.89286,
->,syc,1972,113->91.81637,18.75
->,syr,1972,42.11->49.64539,17.89
->,tcd,1972,18.18->22.94118,26.19
->,tgo,1972,31.82->37.88396,19.06
->,tls,1972,35.71->63.38462,77.50
->,tun,1972,27.91->41.87817,50.05
->,tur,1972,53.85->62.5,16.06
->,twn,1972,73.85->84.3038,14.16
->,tza,1972,50->66.38655,32.77
->,uga,1972,42.42->53.44828,26.00
+++,vct,1972,94.80249,
->,yem,1972,8.333->11.39241,36.71
->,zwe,1972,59.18->70.4918,19.11
->,afg,1973,9.091->15.64626,72.11
->,alb,1973,100->88.85449,11.15
+++,and,1973,98.05936,
->,are,1973,82.35->92.43354,12.24
->,bdi,1973,43.75->55.77889,27.49
->,bfa,1973,33.33->38.83495,16.52
->,bgd,1973,40->48.64865,21.62
->,bhr,1973,71.11->81.94131,15.23
->,bih,1973,69.81->82.662,18.41
->,blz,1973,92.73->82.40343,11.14
+++,brb,1973,95.12195,
+++,brn,1973,86.43881,
+++,btn,1973,33.20755,
->,caf,1973,25->40.65574,62.62
->,chn,1973,61.7->68.07018,10.32
->,civ,1973,33.33->40.22989,20.70
->,cmr,1973,44.44->50.12723,12.80
->,cod,1973,37.78->49.75369,31.69
->,cog,1973,43.14->56.49606,30.96
->,com,1973,36.84->56.47841,53.31
->,cpv,1973,59.09->68.3274,15.63
->,dji,1973,17.86->30.13699,68.74
+++,dma,1973,101.0582,
->,dza,1973,80.95->90.49296,11.79
->,egy,1973,44.68->53.50195,19.74
->,eri,1973,33.33->44.39834,33.21
->,est,1973,113->98.85496,12.52
->,eth,1973,22.22->42.79661,92.60
+++,fsm,1973,82.59053,
->,gab,1973,63.64->90.05736,41.51
->,geo,1973,107.9->95.12485,11.84
->,gin,1973,23.08->28.88889,25.17
->,gnb,1973,25->33.13953,32.56
+++,grd,1973,95.12195,
->,guy,1973,72.13->98.19639,36.14
->,hrv,1973,81.82->92.8036,13.42
->,idn,1973,57.14->67.44681,18.04
->,ind,1973,37.14->42.02899,13.16
->,irq,1973,56.6->49.44444,12.64
+++,isl,1973,97.96407,
->,jor,1973,57.38->70.79365,23.38
->,kaz,1973,111.1->95.08197,14.42
->,ken,1973,46.67->56.73289,21.56
->,khm,1973,48.28->57.98046,20.09
->,lao,1973,50->63.35616,26.71
->,lbn,1973,81.63->90.01919,10.28
->,lbr,1973,28->31.68724,13.17
+++,lby,1973,51.31579,
->,lca,1973,108.8->97.29242,10.58
->,ltu,1973,107->96.25426,10.04
->,lva,1973,112.8->94.3662,16.34
->,mar,1973,38.1->47.77778,25.40
->,mdv,1973,87.18->76.38889,12.38
->,mhl,1973,77.97->87.54941,12.29
+++,mlt,1973,88.69814,
->,mmr,1973,75.86->84.56592,11.48
->,mrt,1973,35.71->50.96525,42.72
->,ner,1973,50->36.73469,26.53
->,nga,1973,42.42->52.14106,22.92
->,nic,1973,121.9->100.28736,17.73
->,npl,1973,16.67->24.22145,45.30
->,omn,1973,48.39->63.43115,31.08
->,pak,1973,26.09->32.96703,26.36
->,png,1973,42.31->53.05556,25.40
+++,prk,1973,73.23529,
->,pry,1973,84.78->95.73034,12.92
->,pse,1973,59.02->77.26524,30.91
->,qat,1973,94.87->109.25,15.16
->,rwa,1973,47.62->59.34959,24.63
->,sau,1973,31.37->45.92145,46.39
->,sdn,1973,31.03->37.22084,19.95
->,sen,1973,50->42.55319,14.89
->,som,1973,18.18->36.87943,102.86
+++,ssd,1973,26.08696,
->,swz,1973,78.79->88.7218,12.61
->,syc,1973,110.4->92.02335,16.65
->,syr,1973,42.5->50.11547,17.92
->,tcd,1973,18.18->23.42857,28.87
->,tgo,1973,30.43->38.33333,25.97
->,tls,1973,40->63.96396,59.91
->,tun,1973,29.55->42.50614,43.84
->,tur,1973,53.66->62.72189,16.89
->,twn,1973,75->84.84472,13.13
->,tza,1973,48.65->66.84932,37.41
->,uga,1973,44.12->53.93258,22.24
+++,vct,1973,95.12195,
->,yem,1973,7.692->11.88525,54.51
->,zwe,1973,58.82->71.07143,20.83
->,afg,1974,9.091->15.89404,74.83
->,alb,1974,100->89.20973,10.79
+++,and,1974,98.42697,
->,bdi,1974,47.06->56.37255,19.79
->,bgd,1974,42.31->49.24812,16.40
->,bhr,1974,72.34->82.81938,14.49
->,bih,1974,69.09->83.16151,20.37
->,blz,1974,92.98->82.77311,10.98
+++,brb,1974,95.61753,
+++,brn,1974,86.86211,
+++,btn,1974,33.57934,
->,caf,1974,28->41.02564,46.52
->,chn,1974,61.22->68.50258,11.90
->,civ,1974,31.82->40.29851,26.65
->,cmr,1974,45.95->50.86849,10.70
->,cod,1974,38.3->50.12048,30.86
->,cog,1974,43.4->57.03276,31.41
->,com,1974,36.84->56.95793,54.61
->,cpv,1974,56.52->68.75,21.64
->,dji,1974,20.69->30.2139,46.03
+++,dma,1974,101.38169,
->,dza,1974,81.82->90.44369,10.54
->,egy,1974,44.9->53.9924,20.25
->,eri,1974,30.77->44.53441,44.73
->,est,1974,112.7->99.25,11.93
->,eth,1974,30->43.38843,44.63
+++,fsm,1974,83.03694,
->,gab,1974,65.22->90.6367,38.97
->,geo,1974,107.7->95.4386,11.38
->,gnb,1974,23.08->33.33333,44.43
->,gnq,1974,48.89->53.99568,10.44
+++,grd,1974,95.61753,
->,guy,1974,73.02->98.43137,34.80
->,hrv,1974,82.35->93.37261,13.39
->,idn,1974,58.14->68.125,17.17
->,ind,1974,37.84->42.37288,11.98
->,irq,1974,57.41->50,12.91
+++,isl,1974,98.23322,
->,jor,1974,58.73->71.62791,21.96
->,kaz,1974,109.5->95.41512,12.86
->,ken,1974,46.81->57.5431,22.93
->,khm,1974,50->58.28025,16.56
->,lao,1974,47.83->63.8796,33.56
+++,lby,1974,51.67095,
->,lva,1974,112.5->94.68822,15.83
->,mar,1974,36.36->48.37545,33.05
->,mdv,1974,87.5->76.90217,12.11
->,mli,1974,44.44->36.53846,17.78
+++,mlt,1974,89.01408,
->,mmr,1974,77.42->85.22013,10.08
->,moz,1974,38.89->45.17766,16.17
->,mrt,1974,33.33->51.69811,55.11
->,nga,1974,44.12->52.57985,19.17
->,nic,1974,117.6->100.8427,14.25
->,npl,1974,16.67->24.66216,47.94
->,omn,1974,48.48->64.01766,32.05
->,pak,1974,25->33.45196,33.81
->,png,1974,44.44->53.38753,20.13
+++,prk,1974,73.73737,
->,pry,1974,85.42->96.26374,12.69
->,pse,1974,60.32->77.86753,29.09
->,qat,1974,95.12->109.77995,15.41
->,rwa,1974,50->59.92063,19.84
->,sau,1974,32.08->46.51852,45.01
->,sdn,1974,33.33->37.7129,13.15
->,sle,1974,33.33->38.56209,15.70
->,som,1974,18.18->37.5,106.27
+++,ssd,1974,26.27119,
->,swz,1974,80->89.48655,11.86
->,syc,1974,112.2->92.40987,17.64
->,tcd,1974,16.67->23.46369,40.75
->,tgo,1974,33.33->38.63636,15.92
->,tls,1974,40->64.22287,60.56
->,tun,1974,30.43->43.09524,41.62
->,tur,1974,54.76->63.12741,15.28
->,twn,1974,77.14->85.36585,10.66
->,tza,1974,50->67.37968,34.76
->,uga,1974,45.71->54.3956,19.00
+++,vct,1974,95.61753,
->,yem,1974,7.143->11.95219,67.33
->,zwe,1974,61.54->71.5035,16.19
->,afg,1975,8.333->16.12903,93.56
->,alb,1975,100->89.70149,10.30
+++,and,1975,98.78319,
->,bdi,1975,47.06->56.45933,19.97
->,bgd,1975,40.74->49.63235,21.83
->,bhr,1975,73.47->83.47639,13.62
->,bih,1975,68.42->83.50168,22.04
->,blz,1975,93.1->83.33333,10.49
+++,brb,1975,96.10136,
+++,brn,1975,87.27273,
+++,btn,1975,33.81295,
->,caf,1975,26.92->41.37931,53.71
->,civ,1975,34.78->40.72727,17.10
->,cod,1975,37.5->50.35294,34.27
->,cog,1975,45.45->57.73585,27.03
->,com,1975,40->57.59494,43.99
->,cpv,1975,58.33->69.15254,18.55
->,dji,1975,20->30.62827,53.14
+++,dma,1975,101.86441,
->,egy,1975,47.06->54.54545,15.91
->,eri,1975,35.71->45.05929,26.18
->,est,1975,112.3->99.631,11.28
->,eth,1975,30->43.7751,45.92
+++,fsm,1975,83.60215,
->,gab,1975,65.96->91.19266,38.25
->,geo,1975,107.5->95.85731,10.83
->,gnb,1975,23.08->33.51648,45.22
->,gnq,1975,48.94->54.33404,11.02
+++,grd,1975,96.10136,
->,guy,1975,72.31->98.65643,36.44
->,hrv,1975,82.86->93.77713,13.18
->,idn,1975,60->68.63544,14.39
->,ind,1975,36.84->42.97521,16.65
->,irq,1975,57.14->50.65274,11.35
+++,isl,1975,98.6095,
->,jor,1975,59.09->72.72727,23.08
->,kaz,1975,109.2->95.85871,12.22
->,ken,1975,48.98->58.40336,19.24
->,khm,1975,50->58.69565,17.39
->,lao,1975,50->64.16938,28.34
+++,lby,1975,52.01005,
->,lca,1975,110->98.09359,10.82
->,lva,1975,113.5->95.11364,16.20
->,mar,1975,37.5->48.59155,29.58
->,mdv,1975,87.8->77.39362,11.85
->,mli,1975,44.44->37.73585,15.09
+++,mlt,1975,89.58333,
->,moz,1975,36.84->45.54455,23.63
->,mrt,1975,33.33->51.83824,55.53
->,nga,1975,44.44->52.9976,19.26
->,nic,1975,117.1->101.37363,13.43
->,npl,1975,15->25,66.67
->,omn,1975,52.94->64.36285,21.58
->,pak,1975,28->33.56401,19.87
->,png,1975,46.43->53.84615,15.97
+++,prk,1975,74.22096,
->,pry,1975,85.71->96.55914,12.66
->,pse,1975,63.08->78.28843,24.11
->,qat,1975,100->110.52632,10.53
->,rwa,1975,52.17->60.23166,15.45
->,sau,1975,32.73->47.09302,43.88
->,sdn,1975,31.25->38.42482,22.96
->,som,1975,25->37.83784,51.35
+++,ssd,1975,26.44628,
->,swz,1975,80.56->89.7619,11.42
->,syc,1975,114->92.60628,18.77
->,syr,1975,46.51->51.54185,10.82
->,tcd,1975,16.67->23.91304,43.45
->,tgo,1975,32->39.04762,22.02
->,tls,1975,37.5->64.57143,72.19
->,tun,1975,31.25->43.87991,40.42
->,tur,1975,54.55->63.51607,16.44
->,tza,1975,51.28->68.06283,32.73
->,uga,1975,45.95->54.69169,19.02
+++,vct,1975,96.10136,
->,zwe,1975,62.96->71.91781,14.23
->,afg,1976,8.333->16.3522,96.23
->,ago,1976,48.15->53.4375,10.98
+++,and,1976,99.12759,
->,bdi,1976,50->56.74419,13.49
->,bgd,1976,42.86->50.17921,17.08
->,bhr,1976,76.47->84.48637,10.48
->,bih,1976,70.69->84.13223,19.02
->,blz,1976,93.33->83.87097,10.14
+++,brb,1976,96.37405,
+++,brn,1976,87.67123,
+++,btn,1976,34.03509,
->,caf,1976,29.63->41.59021,40.37
->,civ,1976,33.33->41.28114,23.86
->,cod,1976,38->50.92166,34.00
