@@,geo,time,urban_population_percent_of_total,changes(%)
+++,lbn,2014,87.67,
+++,lbn,2015,87.792,
...,...,...,...,
+++,lso,2012,25.76,
+++,lso,2013,26.271,
+++,lso,2014,26.789,
+++,lso,2015,27.312,
->,lbr,1986,39.6->44.956,13.53
->,lbr,1987,39.93->47.567,19.13
->,lbr,1988,40.27->50.195,24.65
->,lbr,1989,40.6->52.814,30.08
->,lbr,1990,40.94->55.422,35.37
->,lbr,1991,41.27->58,40.54
->,lbr,1992,41.61->55.019,32.23
->,lbr,1993,41.95->52.009,23.98
->,lbr,1994,42.29->48.981,15.82
+++,lbr,2012,48.541,
+++,lbr,2013,48.921,
+++,lbr,2014,49.308,
+++,lbr,2015,49.701,
+++,lby,2012,77.988,
+++,lby,2013,78.17,
+++,lby,2014,78.359,
+++,lby,2015,78.554,
+++,lie,2012,14.365,
+++,lie,2013,14.33,
+++,lie,2014,14.305,
+++,lie,2015,14.289,
+++,ltu,2012,66.604,
+++,ltu,2013,66.554,
+++,ltu,2014,66.522,
+++,ltu,2015,66.508,
+++,lux,2012,89.247,
+++,lux,2013,89.568,
+++,lux,2014,89.872,
+++,lux,2015,90.16,
...,...,...,...,
+++,mac,2012,100,
+++,mac,2013,100,
+++,mac,2014,100,
+++,mac,2015,100,
+++,mkd,2012,56.959,
+++,mkd,2013,56.981,
+++,mkd,2014,57.029,
+++,mkd,2015,57.104,
+++,mdg,2012,33.196,
+++,mdg,2013,33.832,
+++,mdg,2014,34.468,
+++,mdg,2015,35.105,
+++,mwi,2012,15.798,
+++,mwi,2013,15.944,
+++,mwi,2014,16.102,
+++,mwi,2015,16.272,
+++,mys,2012,72.526,
+++,mys,2013,73.284,
+++,mys,2014,74.01,
+++,mys,2015,74.705,
+++,mdv,2012,42.303,
+++,mdv,2013,43.416,
+++,mdv,2014,44.494,
+++,mdv,2015,45.536,
+++,mli,2012,37.579,
+++,mli,2013,38.363,
+++,mli,2014,39.143,
+++,mli,2015,39.916,
+++,mlt,2012,94.991,
+++,mlt,2013,95.139,
+++,mlt,2014,95.277,
+++,mlt,2015,95.407,
+++,mhl,2012,71.891,
+++,mhl,2013,72.159,
+++,mhl,2014,72.424,
+++,mhl,2015,72.684,
->,mrt,1994,39.8->44.462,11.71
->,mrt,1995,39.83->45.254,13.62
->,mrt,1996,39.86->46.049,15.53
->,mrt,1997,39.89->46.845,17.44
->,mrt,1998,39.93->47.643,19.32
->,mrt,1999,39.96->48.442,21.23
->,mrt,2000,39.99->49.244,23.14
->,mrt,2001,40.06->50.043,24.92
->,mrt,2002,40.13->50.832,26.67
->,mrt,2003,40.21->51.61,28.35
->,mrt,2004,40.28->52.375,30.03
->,mrt,2005,40.35->53.127,31.67
->,mrt,2006,40.53->53.866,32.90
->,mrt,2007,40.7->54.592,34.13
->,mrt,2008,40.88->55.303,35.28
->,mrt,2009,41.05->56,36.42
->,mrt,2010,41.23->56.682,37.48
->,mrt,2011,41.51->57.348,38.15
+++,mrt,2012,58,
+++,mrt,2013,58.636,
+++,mrt,2014,59.255,
+++,mrt,2015,59.859,
+++,mus,2012,40.164,
+++,mus,2013,39.979,
+++,mus,2014,39.814,
+++,mus,2015,39.671,
+++,mex,2012,78.407,
+++,mex,2013,78.691,
+++,mex,2014,78.971,
+++,mex,2015,79.246,
...,...,...,...,
+++,fsm,2012,22.317,
+++,fsm,2013,22.342,
+++,fsm,2014,22.378,
+++,fsm,2015,22.424,
+++,mda,2012,44.857,
+++,mda,2013,44.879,
+++,mda,2014,44.925,
+++,mda,2015,44.995,
...,...,...,...,
+++,mco,2012,100,
+++,mco,2013,100,
+++,mco,2014,100,
+++,mco,2015,100,
+++,mng,2012,69.472,
+++,mng,2013,70.366,
+++,mng,2014,71.222,
+++,mng,2015,72.04,
...,...,...,...,
+++,mne,2012,63.457,
+++,mne,2013,63.643,
+++,mne,2014,63.832,
+++,mne,2015,64.026,
+++,mar,2012,58.697,
+++,mar,2013,59.2,
+++,mar,2014,59.699,
+++,mar,2015,60.195,
->,moz,1960,3.7->4.769,28.89
->,moz,1961,3.855->4.949,28.38
->,moz,1962,4.043->5.144,27.23
->,moz,1963,4.232->5.345,26.30
->,moz,1964,4.42->5.555,25.68
->,moz,1965,4.608->5.771,25.24
->,moz,1966,4.842->5.996,23.83
->,moz,1967,5.077->6.229,22.69
->,moz,1968,5.311->6.471,21.84
->,moz,1969,5.546->6.72,21.17
->,moz,1970,5.78->6.979,20.74
->,moz,1971,6.363->7.361,15.68
->,moz,1972,6.946->7.864,13.22
->,moz,1973,7.529->8.397,11.53
->,moz,1974,8.112->8.963,10.49
->,moz,1986,17.62->19.541,10.90
->,moz,1987,18.49->20.815,12.57
->,moz,1988,19.36->22.152,14.42
->,moz,1989,20.23->23.545,16.39
->,moz,1990,21.1->25,18.48
->,moz,1991,22.12->25.487,15.22
->,moz,1992,23.15->25.98,12.22
+++,moz,2012,31.417,
+++,moz,2013,31.669,
+++,moz,2014,31.934,
+++,moz,2015,32.214,
+++,mmr,2012,32.469,
+++,mmr,2013,33.007,
+++,mmr,2014,33.551,
+++,mmr,2015,34.098,
->,nam,2010,37.82->41.616,10.04
->,nam,2011,38.39->42.637,11.06
+++,nam,2012,43.666,
+++,nam,2013,44.679,
+++,nam,2014,45.678,
+++,nam,2015,46.66,
+++,nru,1960,100,
+++,nru,1961,100,
+++,nru,1962,100,
+++,nru,1963,100,
+++,nru,1964,100,
+++,nru,1965,100,
+++,nru,1966,100,
+++,nru,1967,100,
+++,nru,1968,100,
+++,nru,1969,100,
+++,nru,1970,100,
+++,nru,1971,100,
+++,nru,1972,100,
+++,nru,1973,100,
+++,nru,1974,100,
+++,nru,1975,100,
+++,nru,1976,100,
+++,nru,1977,100,
+++,nru,1978,100,
+++,nru,1979,100,
+++,nru,1980,100,
+++,nru,1981,100,
+++,nru,1982,100,
+++,nru,1983,100,
+++,nru,1984,100,
+++,nru,1985,100,
+++,nru,1986,100,
+++,nru,1987,100,
+++,nru,1988,100,
+++,nru,1989,100,
+++,nru,1990,100,
+++,nru,1991,100,
+++,nru,1992,100,
+++,nru,1993,100,
+++,nru,1994,100,
+++,nru,1995,100,
+++,nru,1996,100,
+++,nru,1997,100,
+++,nru,1998,100,
+++,nru,1999,100,
+++,nru,2000,100,
+++,nru,2001,100,
+++,nru,2002,100,
+++,nru,2003,100,
+++,nru,2004,100,
+++,nru,2005,100,
+++,nru,2006,100,
+++,nru,2007,100,
+++,nru,2008,100,
+++,nru,2009,100,
+++,nru,2010,100,
+++,nru,2011,100,
+++,nru,2012,100,
+++,nru,2013,100,
+++,nru,2014,100,
+++,nru,2015,100,
+++,npl,2012,17.518,
+++,npl,2013,17.877,
+++,npl,2014,18.243,
+++,npl,2015,18.615,
+++,nld,2012,88.575,
+++,nld,2013,89.271,
+++,nld,2014,89.91,
+++,nld,2015,90.496,
---,ant,1960,69.7,
+++,ncl,2012,68.509,
+++,ncl,2013,69.096,
+++,ncl,2014,69.663,
+++,ncl,2015,70.21,
+++,nzl,2012,86.2,
+++,nzl,2013,86.223,
+++,nzl,2014,86.251,
+++,nzl,2015,86.284,
+++,nic,2012,57.841,
+++,nic,2013,58.146,
+++,nic,2014,58.459,
+++,nic,2015,58.779,
+++,ner,2012,17.986,
+++,ner,2013,18.22,
+++,ner,2014,18.469,
+++,ner,2015,18.732,
->,nga,1962,17.74->15.858,10.61
->,nga,1963,18.53->16.087,13.18
->,nga,1964,19.32->16.318,15.54
->,nga,1965,20.11->16.551,17.70
->,nga,1966,20.63->16.788,18.62
->,nga,1967,21.15->17.027,19.49
->,nga,1968,21.67->17.269,20.31
->,nga,1969,22.19->17.513,21.08
->,nga,1970,22.71->17.76,21.80
->,nga,1971,23.27->18.151,22.00
->,nga,1972,23.84->18.549,22.19
->,nga,1973,24.4->18.952,22.33
->,nga,1974,24.97->19.363,22.45
->,nga,1975,25.53->19.78,22.52
->,nga,1976,26.14->20.205,22.70
->,nga,1977,26.75->20.636,22.86
->,nga,1978,27.36->21.074,22.98
->,nga,1979,27.97->21.518,23.07
->,nga,1980,28.58->21.97,23.13
->,nga,1981,29.23->22.671,22.44
->,nga,1982,29.88->23.389,21.72
->,nga,1983,30.54->24.122,21.02
->,nga,1984,31.19->24.872,20.26
->,nga,1985,31.84->25.635,19.49
->,nga,1986,32.53->26.414,18.80
->,nga,1987,33.22->27.209,18.09
->,nga,1988,33.9->28.019,17.35
->,nga,1989,34.59->28.842,16.62
->,nga,1990,35.28->29.68,15.87
->,nga,1991,35.99->30.176,16.15
->,nga,1992,36.71->30.677,16.43
->,nga,1993,37.42->31.182,16.67
->,nga,1994,38.13->31.691,16.89
->,nga,1995,38.84->32.205,17.08
->,nga,1996,39.54->32.725,17.24
->,nga,1997,40.25->33.247,17.40
->,nga,1998,40.95->33.773,17.53
->,nga,1999,41.65->34.304,17.64
->,nga,2000,42.35->34.84,17.73
->,nga,2001,43.03->35.669,17.11
->,nga,2002,43.71->36.508,16.48
->,nga,2003,44.39->37.356,15.85
->,nga,2004,45.07->38.212,15.22
->,nga,2005,45.75->39.074,14.59
->,nga,2006,46.4->39.943,13.92
->,nga,2007,47.05->40.819,13.24
->,nga,2008,47.7->41.702,12.57
->,nga,2009,48.35->42.588,11.92
->,nga,2010,49->43.48,11.27
->,nga,2011,49.62->44.362,10.60
+++,nga,2012,45.234,
+++,nga,2013,46.094,
+++,nga,2014,46.942,
+++,nga,2015,47.776,
+++,mnp,2012,89.36,
+++,mnp,2013,89.313,
+++,mnp,2014,89.272,
+++,mnp,2015,89.237,
...,...,...,...,
+++,nor,2012,79.665,
+++,nor,2013,79.939,
+++,nor,2014,80.208,
+++,nor,2015,80.473,
+++,omn,2012,76.204,
+++,omn,2013,76.699,
+++,omn,2014,77.178,
+++,omn,2015,77.641,
+++,pak,2012,37.428,
+++,pak,2013,37.86,
+++,pak,2014,38.303,
+++,pak,2015,38.758,
+++,plw,2012,85.039,
+++,plw,2013,85.776,
+++,plw,2014,86.452,
+++,plw,2015,87.071,
->,pan,2006,71.52->63.96,10.57
->,pan,2007,72.29->64.251,11.12
->,pan,2008,73.06->64.54,11.66
->,pan,2009,73.84->64.828,12.20
->,pan,2010,74.61->65.115,12.73
->,pan,2011,75.2->65.405,13.03
+++,pan,2012,65.698,
+++,pan,2013,65.994,
+++,pan,2014,66.292,
+++,pan,2015,66.592,
+++,png,2012,12.982,
+++,png,2013,12.977,
+++,png,2014,12.985,
+++,png,2015,13.005,
+++,pry,2012,58.94,
+++,pry,2013,59.174,
+++,pry,2014,59.416,
+++,pry,2015,59.666,
+++,per,2012,77.616,
+++,per,2013,77.954,
+++,per,2014,78.285,
+++,per,2015,78.609,
...,...,...,...,
+++,phl,2012,44.81,
+++,phl,2013,44.633,
+++,phl,2014,44.488,
+++,phl,2015,44.373,
+++,pol,2012,60.688,
+++,pol,2013,60.617,
+++,pol,2014,60.568,
+++,pol,2015,60.539,
+++,prt,2012,61.758,
+++,prt,2013,62.338,
+++,prt,2014,62.908,
+++,prt,2015,63.468,
->,pri,1982,67.81->75.406,11.20
->,pri,1983,68.26->78.711,15.31
->,pri,1984,68.7->81.684,18.90
->,pri,1985,69.15->84.317,21.93
->,pri,1986,69.76->86.637,24.19
->,pri,1987,70.36->88.66,26.01
->,pri,1988,70.96->90.413,27.41
->,pri,1989,71.57->91.915,28.43
->,pri,1990,72.17->92.942,28.78
->,pri,1991,75.16->93.106,23.88
->,pri,1992,78.16->93.267,19.33
->,pri,1993,81.15->93.424,15.13
->,pri,1994,84.14->93.578,11.22
+++,pri,2012,93.722,
+++,pri,2013,93.676,
+++,pri,2014,93.636,
+++,pri,2015,93.6,
+++,qat,2012,98.946,
+++,qat,2013,99.061,
+++,qat,2014,99.159,
+++,qat,2015,99.244,
+++,rou,2012,54.091,
+++,rou,2013,54.235,
+++,rou,2014,54.393,
+++,rou,2015,54.564,
+++,rus,2012,73.786,
+++,rus,2013,73.851,
+++,rus,2014,73.924,
+++,rus,2015,74.008,
->,rwa,1994,7.718->8.49,10.00
->,rwa,1995,8.294->9.837,18.60
->,rwa,1996,9.39->11.374,21.13
->,rwa,1997,10.49->12.466,18.84
->,rwa,1998,11.58->13.244,14.37
->,rwa,1999,12.68->14.064,10.91
->,rwa,2006,17.79->20.168,13.37
->,rwa,2007,18.05->21.085,16.81
->,rwa,2008,18.3->22.033,20.40
->,rwa,2009,18.56->22.988,23.86
->,rwa,2010,18.81->23.952,27.34
->,rwa,2011,19.12->24.922,30.35
+++,rwa,2012,25.894,
+++,rwa,2013,26.869,
+++,rwa,2014,27.841,
+++,rwa,2015,28.811,
...,...,...,...,
+++,wsm,2012,19.639,
+++,wsm,2013,19.44,
+++,wsm,2014,19.26,
+++,wsm,2015,19.098,
+++,smr,2012,94.123,
+++,smr,2013,94.144,
+++,smr,2014,94.166,
+++,smr,2015,94.19,
+++,stp,2012,63.265,
+++,stp,2013,63.902,
+++,stp,2014,64.511,
+++,stp,2015,65.092,
+++,sau,2012,82.51,
+++,sau,2013,82.719,
+++,sau,2014,82.926,
+++,sau,2015,83.13,
+++,sen,2012,42.781,
+++,sen,2013,43.079,
+++,sen,2014,43.393,
+++,sen,2015,43.721,
---,srb,1961,30.09,
---,srb,1962,31.12,
---,srb,1963,32.15,
---,srb,1964,33.17,
---,srb,1965,34.2,
---,srb,1966,35.31,
---,srb,1967,36.42,
---,srb,1968,37.53,
---,srb,1969,38.64,
---,srb,1970,39.74,
---,srb,1971,40.42,
---,srb,1972,41.1,
---,srb,1973,41.77,
---,srb,1974,42.45,
---,srb,1975,43.13,
---,srb,1976,43.73,
---,srb,1977,44.34,
---,srb,1978,44.94,
---,srb,1979,45.54,
---,srb,1980,46.15,
---,srb,1981,46.59,
---,srb,1982,47.02,
---,srb,1983,47.46,
---,srb,1984,47.9,
---,srb,1985,48.34,
---,srb,1986,48.75,
---,srb,1987,49.16,
---,srb,1988,49.57,
---,srb,1989,49.98,
+++,srb,2012,55.307,
+++,srb,2013,55.373,
+++,srb,2014,55.455,
+++,srb,2015,55.553,
+++,syc,2012,52.915,
+++,syc,2013,53.231,
+++,syc,2014,53.559,
+++,syc,2015,53.887,
+++,sle,2012,38.885,
+++,sle,2013,39.226,
+++,sle,2014,39.578,
+++,sle,2015,39.942,
...,...,...,...,
+++,sgp,2012,100,
+++,sgp,2013,100,
+++,sgp,2014,100,
+++,sgp,2015,100,
+++,sxm,1960,100,
+++,sxm,1961,100,
+++,sxm,1962,100,
+++,sxm,1963,100,
+++,sxm,1964,100,
+++,sxm,1965,100,
+++,sxm,1966,100,
+++,sxm,1967,100,
+++,sxm,1968,100,
+++,sxm,1969,100,
+++,sxm,1970,100,
+++,sxm,1971,100,
+++,sxm,1972,100,
+++,sxm,1973,100,
+++,sxm,1974,100,
+++,sxm,1975,100,
+++,sxm,1976,100,
+++,sxm,1977,100,
+++,sxm,1978,100,
+++,sxm,1979,100,
+++,sxm,1980,100,
+++,sxm,1981,100,
+++,sxm,1982,100,
+++,sxm,1983,100,
+++,sxm,1984,100,
+++,sxm,1985,100,
+++,sxm,1986,100,
+++,sxm,1987,100,
+++,sxm,1988,100,
+++,sxm,1989,100,
+++,sxm,1990,100,
+++,sxm,1991,100,
+++,sxm,1992,100,
+++,sxm,1993,100,
+++,sxm,1994,100,
+++,sxm,1995,100,
+++,sxm,1996,100,
+++,sxm,1997,100,
+++,sxm,1998,100,
+++,sxm,1999,100,
+++,sxm,2000,100,
+++,sxm,2001,100,
+++,sxm,2002,100,
+++,sxm,2003,100,
+++,sxm,2004,100,
+++,sxm,2005,100,
+++,sxm,2006,100,
+++,sxm,2007,100,
+++,sxm,2008,100,
+++,sxm,2009,100,
+++,sxm,2010,100,
+++,sxm,2011,100,
+++,sxm,2012,100,
+++,sxm,2013,100,
+++,sxm,2014,100,
+++,sxm,2015,100,
+++,svk,2012,54.163,
+++,svk,2013,53.945,
+++,svk,2014,53.757,
+++,svk,2015,53.598,
...,...,...,...,
+++,svn,2012,49.856,
+++,svn,2013,49.764,
+++,svn,2014,49.695,
+++,svn,2015,49.65,
+++,slb,2012,20.964,
+++,slb,2013,21.421,
+++,slb,2014,21.876,
+++,slb,2015,22.329,
+++,som,2012,38.153,
+++,som,2013,38.612,
+++,som,2014,39.078,
+++,som,2015,39.551,
+++,zaf,2012,63.272,
+++,zaf,2013,63.788,
+++,zaf,2014,64.298,
+++,zaf,2015,64.801,
+++,ssd,1960,8.748,
---,pse,1960,44,
---,pse,1961,45.01,
---,pse,1962,45.99,
---,pse,1963,46.96,
---,pse,1964,47.93,
---,pse,1965,48.9,
---,pse,1966,49.98,
---,pse,1967,51.06,
---,pse,1968,52.14,
---,pse,1969,53.22,
---,pse,1970,54.3,
---,pse,1971,55.36,
---,pse,1972,56.42,
---,pse,1973,57.48,
---,pse,1974,58.54,
---,pse,1975,59.6,
---,pse,1976,60.17,
---,pse,1977,60.74,
---,pse,1978,61.31,
---,pse,1979,61.88,
---,pse,1980,62.44,
---,pse,1981,63,
---,pse,1982,63.55,
---,pse,1983,64.1,
---,pse,1984,64.65,
---,pse,1985,65.2,
---,pse,1986,65.73,
---,pse,1987,66.27,
---,pse,1988,66.8,
---,pse,1989,67.33,
---,vir,1960,56.5,
---,vir,1961,57.84,
---,vir,1962,59.2,
---,vir,1963,60.56,
---,vir,1964,61.92,
---,vir,1965,63.28,
---,vir,1966,64.54,
---,vir,1967,65.8,
---,vir,1968,67.07,
---,vir,1969,68.33,
---,vir,1970,69.59,
---,vir,1971,70.72,
---,vir,1972,71.85,
---,vir,1973,72.98,
---,vir,1974,74.11,
---,vir,1975,75.25,
---,vir,1976,76.23,
---,vir,1977,77.21,
---,vir,1978,78.19,
---,vir,1979,79.17,
---,vir,1980,80.15,
---,vir,1981,80.97,
---,vir,1982,81.8,
---,vir,1983,82.63,
---,vir,1984,83.45,
---,vir,1985,84.28,
---,vir,1986,84.96,
---,vir,1987,85.64,
---,vir,1988,86.32,
---,vir,1989,87,
---,vir,1990,87.69,
---,vir,1991,88.24,
---,vir,1992,88.79,
---,vir,1993,89.34,
---,vir,1994,89.89,
---,vir,1995,90.44,
---,vir,1996,90.87,
---,vir,1997,91.31,
---,vir,1998,91.75,
---,vir,1999,92.19,
---,vir,2000,92.62,
---,vir,2001,92.94,
---,vir,2002,93.26,
---,vir,2003,93.57,
---,vir,2004,93.89,
---,vir,2005,94.21,
---,vir,2006,94.42,
---,vir,2007,94.64,
---,vir,2008,94.85,
---,vir,2009,95.07,
---,vir,2010,95.28,
---,vir,2011,95.43,
+++,ssd,2012,18.2,
+++,ssd,2013,18.39,
+++,ssd,2014,18.591,
+++,ssd,2015,18.804,
+++,esp,2012,78.902,
+++,esp,2013,79.129,
+++,esp,2014,79.355,
+++,esp,2015,79.579,
->,lka,1993,16.74->18.529,10.69
->,lka,1994,16.59->18.516,11.61
->,lka,1995,16.44->18.504,12.55
->,lka,1996,16.29->18.492,13.52
->,lka,1997,16.15->18.48,14.43
->,lka,1998,16->18.467,15.42
->,lka,1999,15.86->18.455,16.36
->,lka,2000,15.71->18.443,17.40
->,lka,2001,15.59->18.431,18.22
->,lka,2002,15.48->18.418,18.98
->,lka,2003,15.36->18.406,19.83
->,lka,2004,15.24->18.394,20.70
->,lka,2005,15.13->18.382,21.49
->,lka,2006,15.11->18.37,21.58
->,lka,2007,15.09->18.357,21.65
->,lka,2008,15.08->18.345,21.65
->,lka,2009,15.06->18.333,21.73
->,lka,2010,15.04->18.321,21.82
->,lka,2011,15.13->18.309,21.01
+++,lka,2012,18.297,
+++,lka,2013,18.3,
+++,lka,2014,18.32,
+++,lka,2015,18.356,
+++,kna,2012,31.844,
+++,kna,2013,31.892,
+++,kna,2014,31.96,
+++,kna,2015,32.047,
+++,lca,2012,18.45,
+++,lca,2013,18.459,
+++,lca,2014,18.477,
+++,lca,2015,18.504,
->,vct,1960,13.9->25.943,86.64
+++,vct,2012,49.495,
+++,vct,2013,49.848,
+++,vct,2014,50.2,
+++,vct,2015,50.55,
+++,sdn,2012,33.315,
+++,sdn,2013,33.46,
+++,sdn,2014,33.623,
+++,sdn,2015,33.806,
->,sur,1976,50.58->56.064,10.84
->,sur,1977,51.68->58.346,12.90
->,sur,1978,52.79->60.597,14.79
->,sur,1979,53.89->62.803,16.54
->,sur,1980,55->64.96,18.11
->,sur,1981,55.51->65.035,17.16
->,sur,1982,56.01->65.11,16.25
->,sur,1983,56.52->65.184,15.33
->,sur,1984,57.03->65.259,14.43
->,sur,1985,57.53->65.334,13.57
->,sur,1986,58.03->65.408,12.71
->,sur,1987,58.53->65.483,11.88
->,sur,1988,59.03->65.557,11.06
->,sur,1989,59.53->65.632,10.25
+++,sur,2012,66.208,
+++,sur,2013,66.14,
+++,sur,2014,66.085,
+++,sur,2015,66.043,
+++,swz,2012,21.374,
+++,swz,2013,21.337,
+++,swz,2014,21.315,
+++,swz,2015,21.308,
...,...,...,...,
+++,swe,2012,85.363,
+++,swe,2013,85.514,
+++,swe,2014,85.665,
+++,swe,2015,85.815,
+++,che,2012,73.739,
+++,che,2013,73.787,
+++,che,2014,73.844,
+++,che,2015,73.912,
+++,syr,2012,56.459,
+++,syr,2013,56.855,
+++,syr,2014,57.255,
+++,syr,2015,57.656,
+++,tjk,2012,26.568,
+++,tjk,2013,26.621,
+++,tjk,2014,26.692,
+++,tjk,2015,26.782,
+++,tza,2012,29.493,
+++,tza,2013,30.196,
+++,tza,2014,30.901,
+++,tza,2015,31.608,
...,...,...,...,
->,tha,2003,31.8->35.006,10.08
->,tha,2004,32.02->36.256,13.23
->,tha,2005,32.24->37.52,16.38
->,tha,2006,32.54->38.804,19.25
->,tha,2007,32.84->40.104,22.12
->,tha,2008,33.13->41.419,25.02
->,tha,2009,33.43->42.744,27.86
->,tha,2010,33.73->44.08,30.68
->,tha,2011,34.11->45.394,33.08
+++,tha,2012,46.682,
+++,tha,2013,47.943,
+++,tha,2014,49.174,
+++,tha,2015,50.374,
+++,tls,2012,30.832,
+++,tls,2013,31.485,
+++,tls,2014,32.131,
+++,tls,2015,32.77,
+++,tgo,2012,38.493,
+++,tgo,2013,38.979,
+++,tgo,2014,39.469,
+++,tgo,2015,39.964,
+++,ton,2012,23.498,
+++,ton,2013,23.56,
+++,ton,2014,23.632,
+++,ton,2015,23.712,
->,tto,2003,11.61->10.244,11.77
->,tto,2004,11.86->10.072,15.08
->,tto,2005,12.12->9.902,18.30
->,tto,2006,12.39->9.735,21.43
->,tto,2007,12.65->9.571,24.34
->,tto,2008,12.92->9.408,27.18
->,tto,2009,13.18->9.249,29.83
->,tto,2010,13.44->9.092,32.35
->,tto,2011,13.71->8.937,34.81
+++,tto,2012,8.795,
+++,tto,2013,8.666,
+++,tto,2014,8.55,
+++,tto,2015,8.445,
+++,tun,2012,66.274,
+++,tun,2013,66.456,
+++,tun,2014,66.645,
+++,tun,2015,66.842,
+++,tur,2012,71.834,
+++,tur,2013,72.37,
+++,tur,2014,72.891,
+++,tur,2015,73.397,
+++,tkm,2012,49.023,
+++,tkm,2013,49.35,
+++,tkm,2014,49.688,
+++,tkm,2015,50.037,
+++,tca,1960,47.679,
+++,tca,2012,91.09,
+++,tca,2013,91.482,
+++,tca,2014,91.847,
+++,tca,2015,92.186,
+++,tuv,1960,15.895,
->,tuv,2011,50.56->55.807,10.38
+++,tuv,2012,56.815,
+++,tuv,2013,57.814,
+++,tuv,2014,58.782,
+++,tuv,2015,59.717,
+++,uga,2012,15.115,
+++,uga,2013,15.437,
+++,uga,2014,15.766,
+++,uga,2015,16.101,
+++,ukr,2012,69.072,
+++,ukr,2013,69.274,
+++,ukr,2014,69.482,
+++,ukr,2015,69.695,
+++,are,2012,84.684,
+++,are,2013,84.981,
+++,are,2014,85.266,
+++,are,2015,85.541,
...,...,...,...,
+++,gbr,2012,81.834,
+++,gbr,2013,82.092,
+++,gbr,2014,82.345,
+++,gbr,2015,82.592,
+++,usa,2012,81.108,
+++,usa,2013,81.277,
+++,usa,2014,81.447,
+++,usa,2015,81.617,
+++,ury,2012,94.803,
+++,ury,2013,94.983,
+++,ury,2014,95.152,
+++,ury,2015,95.311,
+++,uzb,2012,36.182,
+++,uzb,2013,36.217,
+++,uzb,2014,36.278,
+++,uzb,2015,36.365,
+++,vut,2012,25.2,
+++,vut,2013,25.508,
+++,vut,2014,25.817,
+++,vut,2015,26.128,
+++,ven,2012,88.851,
+++,ven,2013,88.894,
+++,ven,2014,88.941,
+++,ven,2015,88.99,
+++,vnm,2012,31.668,
+++,vnm,2013,32.309,
+++,vnm,2014,32.951,
+++,vnm,2015,33.593,
+++,pse,2012,74.577,
+++,pse,2013,74.8,
+++,pse,2014,75.026,
+++,pse,2015,75.252,
+++,yem,2012,32.874,
+++,yem,2013,33.45,
+++,yem,2014,34.027,
+++,yem,2015,34.606,
+++,zmb,2012,39.587,
+++,zmb,2013,40.027,
+++,zmb,2014,40.472,
+++,zmb,2015,40.922,
->,zwe,2009,37.68->33.378,11.42
->,zwe,2010,38.13->33.196,12.94
->,zwe,2011,38.62->33.015,14.51
+++,zwe,2012,32.834,
+++,zwe,2013,32.654,
+++,zwe,2014,32.501,
+++,zwe,2015,32.376,
